scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F' R2 D2 U2 L,D F' D' F' D2 B2 U2 B2,B2 R F' L' F' R2 U2 L R B2 D2,D L D' L' B D2 F2 R' F2 D2 B',,35
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U L F L2 U B',U F R2 D B' R' B' F' R',F D U L F2 U' L D' L2 F' L,B2 F' U2 F U' R U' R' B2 D2 F D2,F2 R2 U2 L2 B' L2 U2 R2 F,47
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B' D2 U2 R,B F2 R2 D' B' F2 L F,R' U2 L D L' D' U2 R,L B L D2 L' F2 R B F R2 B2 F L',F2 D' B F' R F R' B' F D F,44
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' F' D R B L',D' U R' B' D B2 R D' U',L' R' D L' F' D' R2 U B2 U' R',F D' B D' F' U F' U' F2 D B' D F',U2 B' D U' L2 D' U B' U2,48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' U2 R' B',R2 F2 R' B' D B' L2 U' B2 F2,B' R' D' U' B D2 L D' B' U R,D' F' R2 D2 B' D' B2 F' R B' R F R2 F,U2 L' R B' L' B L R' U' L U',50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B U B2 R F' U2,R' D B' L2 F2 D' B R F2,F U2 L' D L' U2 L F D' L F' L',R D' L' U' F R F' U L D R',,38
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D F2 D F' R D B,D2 B U' B U2 B' U' R' B',F D2 U F' D2 B' L' B L' U' F',D B D2 F2 U R F R' F' U' F2 D2 B' D',L D L' D2 L2 D U B D' B' U' L2 D,54
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R D' L2 F' R2 U,R B L F L' R2 D' B' L R,L2 R2 F' L2 R' B R D F R' B' R',R' D' F2 D2 L D L' D F' R F' R' D R,F' L B F D2 F2 D' F D F D2 B' L',55
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 B' R D U B,U F R2 D L B2 R2 D,D2 F' D' R' F R U2 L U2 F2 D',D' F2 D B R' D' F2 D R' U' R U B',U2 B' D U' L2 D' U B' U2,47
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B' U2 R D B' R2,U' B F2 R' B' F U L D,R' D F2 L D' L' U L2 U' R,B D' F' D U R F R' F' U' R2 B' D2 F D2,L2 U L U' L2 R2 D L' D' R2,50
