scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B D' R2 B L',B L' R U L B U' F R' B2,R F' U F' R U2 F R' U' F R',B U2 B' F2 R D B R2 B' R' D' F2,U2 R F' D2 F R' U2 R F' D2 F R',50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R' D' U2 L2 R' F',L' U B D' U B' U2 L' D' L2,B F2 U' B' F R F,D B L2 D' B2 D L2 F U B' F' D',L U F U' F' U2 L2 D' B' D L2 U2 L',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F L2 D2 U' B' R',D' L' B2 U' F R' B2 F' D L2,B2 F2 R B2 D2 F' L F D2 F2,U' B L U2 L' D R B2 R' D' B' U,F2 R' F' R2 B F R' F' R B' R2 F',50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R U' B R D B,D' L F' L2 F2 R F' D,R F2 R B R' F2 R B' R2,B' L2 D L2 D' F' D F L2 B' L B L B,U2 R F' D2 F R' U2 R F' D2 F R',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L2 U' L' R2 F U2,B' D2 L2 B2 D' B' L D',L' D2 B2 R B' L' B' L B' R' D2 L,U2 B' F R2 U2 B R' B' U2 B R F',L U F U' F' U2 L2 D' B' D L2 U2 L',51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F2 D' L2 U2 R',B' U R2 D' L D R2 B,D L2 D B U' B2 D' U B L2 D',F2 U' B R' F' U L B' F2 D' L B L' F,L U F U' F' U2 L2 D' B' D L2 U2 L',51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' L2 R' D B D,R' F R' D L D2 U' R2 D U,D' U L U L U' L2 U L D U2,B2 U' L U B2 F' D B' D2 F L B,D' L F2 U' B' U F2 L' D F' D2 R' D2 F,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' L' D' B' R,F R' U F' D L B2 D' B U',L U L2 D' L' U' L2 U2 B2 L D U2,U2 L2 U B F' L D L2 D F L B' U,R F2 D' F U L F' L' D F U' F,52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D F' U L2 U,L2 R' F2 L2 B U' R U2 B',F' R' B D F' U F D' B' F,F L2 F R' B' F2 D L D' L' B F L2 F',F' D2 R D2 F D' L F2 U' B U F2 L' D,52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R B L',B' D' L' D B F U' F' U,D2 R' B2 F' U B2 F R2 B R' B' D2,D B L2 B' D' B L2 U' F2 R2 B' D' R F2,D' L F2 U' B' U F2 L' D F' D2 R' D2 F,52
