scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L R B' D',F' L F2 R' D' R F2 L2 U F,B' F2 D' R F2 D R B F2 L D L',U2 F R' U' R2 U' F2 L' B2 L D' F' D F2,,40
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L' B L' F2,L2 D2 F2 D' L' B2 D' B' R2 U2 L2,B' F D' B' U L2 D2 L2 U' B2 F' R,D L F' D B' D' B2 F L' B' D B D,D' R' D L R B2 R2 B' R B R B2 L',53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B2 L B F' R,U2 B D2 L B' U2 L2 F' L2,U L F' L D2 B R2 B' R' D2 L2 U',U B' D2 B D B' L2 D B U' F D2 F D',F D2 F' L R' D B2 D' L' R,50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U F2 L' F' L,U' B U B D2 L D2 U' B' L',B' U L2 D F' U' F2 D F D2 B,B2 D F' L' F2 L2 R' D L' D R F' D' B2,F' U2 F L' R U' B2 U L R',50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U' R B2 L D B2,F' U F L2 D2 U2 R' D2 U,F2 R D' B' R2 B U F' D U' F2,D U2 B L' U R2 U' L B' D' U2 B' D2 B,B' D' U R2 D U' B',47
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F D' L' F2 D',B2 L' U F D2 R D' R2 F' L,F' U' R B' F2 U2 L B' D' F' L2 R2,D' L2 B' L' B' U R B' D2 B R U' B2 L',L' R U' B2 U L R' F' U2 F,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B' L2 B2 L R2 B,D B2 L2 U L2 D' R2,U2 B2 U L B' F R' U' B' R U F' U,D' B D' L D U2 R2 U2 B2 D' L' D B D,F' U2 F L' R U' B2 U L R',50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U' L' B2 D R',B R D' F' R F2 R2 B' D,F2 D' B' R B U F D R2 U' F2,U2 F R' F2 U2 B L B L2 F2 D' F D B2 F2,U R U' L' R' B2 R2 B R' B' R' B2 L,53
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 B' D' U',B' D2 U L' U2 L' U F D2,F U B' D B2 U B' U' F R' F2 R',B' D L2 F' L2 U2 R' U R2 U' R' B' D' U2 B,R F2 L2 D' B2 L2 F2 U' R,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D' B R' U' F2,B' L2 R2 F' U B' L2 B2 F,B2 D' B R' B2 U' B2 D B U,L R U' B' D2 U F2 R2 F R F L D2 B2 L2,F D2 F' L R' D B2 D' L' R,49
