scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L2 F2 R' F' U' F,D' B2 D R2 D2 R' D R',L2 B L U' B' D' B2 L' B' L D,B L2 U R B L2 R F' D' F R2 B',L D L D' L B2 R' U R B2 L,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L2 D2 F2 R B' U' R,U R D L' R2 F' L2 R U',L B2 R B R' D' B' D B2 L',U2 B U2 F U2 F' U B' F U F' U,L D L D' L B2 R' U R B2 L,49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R' F2 D' B U' F',U2 B2 L' U2 B' R2 D R2 B,R' F L' F L' R U' L2 R2 F' R2,L' U' L' B D U' L D' B2 U B L2,L' U2 F' U B' U' B F U2 B' U' B L,51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B' D2 L' F2 L2 D,L2 U L R2 F L D' R2,L' R' B D F L F2 D' B' U' R,F R2 F R F' R' D U2 B D' U2 R2 F',L2 B' L' B L' D2 R F' R' D2,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 F' L D2 B D' L',L' R2 F R2 U2 L2 U2 L',R D2 L D B' D' L' R D2 R2,R2 F2 L F L U L' B D B' U' L2 F R2,,39
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L' R' F2 U B' R2 U',B2 L R D' L' D2 R' B',L' U2 L R B' D2 B R2 F R,F' R' D R' D' R F R' U' R' U R2,D2 L2 B2 R' U R B2 L2 D L D' L' D2,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R2 U' B R' D',L2 U B' L R2 D' L R2,B U2 F' D' L2 D F U2 B',D L B L2 B' L2 D' B L2 U' L U L2 B2,D2 L2 B2 R' U R B2 L2 D L D' L' D2,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D F2 D F' R D,U R2 F' R U' R B,L2 U F L U' L' F' L U' L,U' R D2 L2 D' U' B' U B U B2 D' R',D2 L2 B2 R' U R B2 L2 D L D' L' D2,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 B2 U R' B D' L,L' U2 R2 D L B D2 B' R2,U' B L' U2 F U' B2 U F' U' B,B2 U2 L2 R U' L' U R' D' B D L2 U2 B2,D' B R2 U' R U R B' D' R F R' D2,54
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B R D F' U B D',R2 D' R2 B' L2 U L2,R' D F D' R U L' U' L' U L,R' U2 L2 D U2 F U F2 U2 R U R' D' R,F L2 D' L B' D2 R U R' D2 B L' D L2,53
