scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D' R' F L' U R,F' U F' L B2 L B2 F2 R',D' U R' F' R B2 F R B2 D R' U',B' D2 U2 F D F' D2 U2 B D',F R2 B' R' B' R B2 R2 B' F' U' B U,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F R' B' U L2,B2 R' D L' D' R' B' L,B D2 R2 D2 R2 F D2 F' R2,U2 R' F2 D2 R F U' F U2 B' U B L,F R2 B' R' B' R B2 R2 B' F' U' B U,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F L U B D2 F2,F' U F R B2 U R' U',R F D2 R B2 D B' R' D2 F' R2,D2 L' U' L' U L' F L' F U F2 L' D2,R D L B L' D' R' U' B' U,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U' R' F' L2 R',D2 F' U B' U' F R' B D2,B2 U2 F L' R2 B R' B2 D2 R2 D2 L F',L2 B2 L2 F' L2 U' F' R2 F2 U2 F' U L2 F,U L' B2 F2 R D' R' B2 F2 L,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D' U R F' D2 R,R2 U' L2 F2 U L2 R D R,D2 R' F' U2 F R U2 R' U2 R D2,U B2 F D B' D' F' L U L' B2 U' B',R D L B L' D' R' U' B' U,49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F' L B2 R U,D B2 D R2 D' F L' B F' D',L D' R D L' B U' B' U,U R2 U2 F' L' U B' U2 B2 U' L' B' L2 F,L U' L' D' B2 U B U B' U2 B2 D U,52
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' F' U F2 U',D' B2 D R U2 R' U2,B' L2 R' D' R D B' R2 B L2 R2 B,D2 F R2 D' B D R2 U F2 U F L' U2 F' D2,B L' B2 F2 R B' R' B2 F2 L,49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' D2 B U2 F' L U',F2 R B R2 U B2 U' R F2,D2 R' U B L F2 L' B' U2 R D2 U,B U B' U2 F U2 L2 D' B D2 L2 B U' B' U',F R2 B' R' B' R B2 R2 B' F' U' B U,56
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 F' D' F2 L2,U L B' U B2 L' B' U',R F2 R2 F' U B U' B' U' F' R',U2 B R' U' B2 R2 D' F' R D2 U B' U' L2 D',U L' B2 F2 R D' R' B2 F2 L,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 F2 L B F',R U2 L U' B U2 L' U R',F2 L2 D2 B2 U' B' U B2 D2 L2 F2,R' U' F D R2 F2 U R B2 L2 R' F2 R2 F' U,L' B2 F2 R D R' B2 F2 L U',50
