scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U L' F' D,L' B U2 R2 U2 B R2 B2,F R2 B' L' D R F2 D' L F' R U',B' F D F' R2 U' R2 F2 D' L' B F2,,36
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L F2 U L B' D F,U F' L2 B2 D B2 U' F L,B2 L' F U' B' U B U F' L U' B2,F2 D R' B2 L' B D B R F D' F,U2 B2 R2 F' U F' U' F2 R2 B' D' B' U2,53
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D2 R F2 R2 F',B' U F2 R2 F' U' B U' F',L2 F2 D' F U F' L D F2 U' L2,L F2 D F2 D' L' F2 R' D' L' R,F' U2 L B' U2 B U2 B L B' L2 F U2,49
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U R' U2 B2 U F2,R D F2 D L F' L' D2 R',U2 F' R2 D2 B2 L2 B' R F D F2 R,R2 B D L' B L D2 L2 D' L2 D2 B' D' R2,U2 B2 R2 F' U F' U' F2 R2 B' D' B' U2,54
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B2 L' U' B2 L' U,R U L D2 R D2 U' R' U',U' L R B L2 B2 R' F U' F',F2 D L' D F L F' L' D2 L F2,U2 F' L U2 B' U2 B L2 F' L F U2 F,49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L' D' U B' D2 B' D2,F2 L' R' U' F R2 D' U R,R' D2 F2 D F D' F2 D2 R,B' R2 D B2 D' B' R' B R' F' U' B F,U2 B D B' D2 F D' B D B' F' D2 U2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L2 R' U B R' D,L2 B' D' F2 U' F' D U2 B,F' R2 D' R' B' D' B D R' F,D2 F D' F L U L2 B L2 B' U' F2 D',F' D2 B2 D B' D' B' D2 F L B L' B',51
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L R2 U' R' B' D',L B R' D B' F' L2 D' L2,U' R2 D B' D' B' D R2 U F2,F' U' L' U' F' L2 F L U L F U2,U' B D U R' F' U F' L U' F R' F R2 D',52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 L' U2 B' D',L2 F U' B' R2 F' R B U,U L D F' D' B U2 B' U2 B' U',F2 L B F' D F' D' U' R D R' U B',U' B D U R' F' U F' L U' F R' F R2 D',53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' B U B' D2 R,L2 R' D2 U' R D2 U R,U2 L U' R B L B' L' U' R' U',F D B D' B' D' F D L2 D' L' F2,D R2 F' R F' U L' F U' F R D' U' B' U,52
