scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U B' R2 F L' U2,F' D' F2 D2 B R' B' D' F',B D' B' D' L' B D2 B' D L D2,R2 F U B' U' B2 D B D' B2 F' R2,F U' L R' F2 L' R U' F',47
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D' R B D' B' R2,R2 U2 R2 D2 L' B D' B' L',D2 B' R2 B L' B' L R2 B D2,F2 D' B2 U2 B2 D R2 U L2 U' R2 F2,B2 U' L' R B R B L R' U' R' B2,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R' F R2 F U2 L',D F2 L' F' L' B2 U' B2 L2,L' U2 F' U L2 F L F' L2 U L,U2 F' L' F U2 B' R B R' D2 R D2,B D2 U2 F' U' F D2 U2 B' U,48
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' U2 B2 R' U,R2 B' D' R2 F' U' F' U',B2 D2 B2 L' B2 D2 L D2 F L' B2 F',R2 F U B' U2 F' U2 F U' B F' U' R2,B2 U' L' R B R B L R' U' R' B2,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,U' B2 L' U' R2 B2,U' B F' L2 R' D2 L' B' D F2,F R' U' F2 L' F' U' F2 U2 L' R F',B2 U F U L2 D2 B D B' D L2 U2 B2,R2 U2 R U R F' U' R' U2 R F U' R,54
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 U2 F L2 U2,R2 F D2 F U' L' U B D' F,U B' D' B D' B2 D B' D B U',L2 F' L' R' F L' U' L2 U R U' F L2,B' D2 F2 L' U2 F2 D2 R' B',48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L' U B2 D' R2 B,F' D F R D2 L F2 R' B2,D L R F' U' F' U F2 L' R' D',L2 R' B' D' R' D' F2 D' B' L2 D' B2 U' L2,F U' L R' F2 L' R U' F',49
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R F U L' D2 B2,D' F' L2 D2 R F2 L' R' F,B' L2 D' U2 R B R' B' U2 L2 D B,R' D' L U2 R' F R U2 L2 B L B' D R,B R' D2 F2 U2 L' F2 D2 R B F' U' F,54
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F2 D2 L' F' D B2,D' R D2 U' R2 D2 U F' R',R' F2 L' U2 B2 F D2 L' D2 B2 L F,D B' U F2 U B D F D2 B' L2 U2 B,U B' D' U R U' R' U2 R2 D U B2 U2 B',54
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D R U' B U2 B,D2 R2 U' B U R' F' R' F',L2 B' F' D2 R2 D2 B F L2,F' D2 L D2 F D B' D2 L U' L' D2 B D',B2 F D' L2 D' B' F L B2 F2 D2 R B,51
