scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U R' B2 R' D2,U F' R2 D R2 F' L2 F2 U',R' D' R2 D L2 F' D' F R2 D L2 R,R B R2 F2 L' F' L F' R2 B2 L B L' R',,40
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U B2 F2 L U2,L R' D U R B L' F',F D2 U R D2 F R' D' U' F' R,R B R D R2 F2 R B R' F2 R B2 R',B R B R2 F' U' B' U B F R2 B2 R',50
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U B F' D B2 R',B' F2 D F' L D' L F L2,B' R B' R' B' F R B2 R' F',U R' F' U L2 U' F' R U2 B L B2 U B,B2 L U L' U2 R U' L U L' R' U2 B2,52
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,L' D U' F L D,L R' D L R2 U R' B' F L2,L' B D U R' F2 R F2 D' U' B' L,D' B' D2 R' D R2 B' R' B R' D2 R' D R,B' D' R2 U' B U R2 D2 F D F' D2 B,55
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L D' F U2 F2 R',F' R' U' L' D L' U R,U2 B F' U L2 D2 R D2 U' B U2 B2 F,D' R D2 R' D U' B D2 B' U,B R B R2 F' U' B' U B F R2 B2 R',50
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L F U R D F',F2 D2 F' U' L2 R' U B2 D',B U2 R' F2 R' U2 B' D2 L2 D2 L,D' B R2 U F D F' U' R2 B' D U' B' U,R2 D2 F' L2 F2 D F' R' D B R' B2 U2 B,54
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,U' F D U' L2,D2 R2 U2 F R2 D2 F2 L2,L' D U F2 D' R D R F2 R2 U' L,B R2 D' R' D L2 B' R' B L2 R B' D2 R',B' U2 B2 R B' D' R F D' F2 L2 F D2 R2,53
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 F2 L D' B R',D F' U' L D' U2 L U',D' U2 L U2 L' F L D F2 R2 F D' R',L' R' D2 L F' R U' R2 B2 R2 U R' F R,F2 R D R' F2 L2 B2 U L U' L' B2 L2,54
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R D' U R B' U',F' D2 U' B D2 B' R' U2 R U',F2 L D2 L' B D' B' R F2 D2 R' F2,L' D' L2 B L' B L F' U B2 U' B F L' D,B R B R2 F' U' B' U B F R2 B2 R',56
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D2 U' L2 D' L R2,D2 L2 F2 R2 B' L2 R2 D2,U L2 D2 L D2 B' D2 B L U2 R2 U,L' D' R2 U F2 U' L B R' D2 R B' R' D2 R',R2 D2 F' L2 F2 D F' R' D B R' B2 U2 B,55
