scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L2 U B D' U' B',F2 R2 U' R2 F' U' R F2,D' R U' F' D F U R' D,F R U' R' U' F' R' F L F L' R,U2 L' B L' B' L2 U2 R' F' R,45
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 B' U' L B,U2 R' U2 F2 R' U',F U2 F2 L2 D F D' B' U2 B,U2 F' L2 D' B' D' B2 D2 L2 F2 U2 F',L' U R' U' R2 B2 L' D' L B2 L R',45
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B U' F2 D' F R',R' U2 R' B2 L2 B2 F R,L2 B D' B2 F2 U' B' R2 B2 F2,L2 B' R2 F' R F R2 B' R' B2 L2,R' F' R B F U2 F2 U' F U F U2 B',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L2 D2 L2 D' B L,B2 D' L B' F U' B2 R2 B,R2 U R F2 D R U' R2 D' R,B U B' F U' B U L U' L' F' U' B',U2 L' B L' B' L2 U2 R' F' R,48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L D' F' R' U B' L',U' R' B2 L D' B2 F2,B2 U B R2 F2 R' D R' B' U' B2,L2 D R D' L2 U' R2 B2 D L D' B2 R2 U,,39
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' B2 F2 U B2,F' U2 R' U B' R' D2 B,L' D B U B' F2 R' F2 D' U' L,L' R' D F2 R2 F2 D L B D2 U2 F' L U2,F R' F' R F' D R' D' F' D R D' F,51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F D' B2 U F2 L R2,L F L' F2 R' B' D B,U F' U2 B U' L2 U' F2 U' B',U B2 L B' D F U2 F' D' B L B2 U',L2 U B2 D' B U B2 D B2 U' B L2 U',51
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L B2 U L D2 B,F' R2 U B2 L B' F2 U' B',F L' U' L B2 U L U' B2 F',L F2 L' D U' R D' U R U2 R2 F R U',R B' R2 F R' D2 F D2 R F R' F2 R2 B,53
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B F L R2,D L' B' L2 F2 L' R' D',D L F' L2 U R' U' L2 F L' D',R U' B2 F D B D' B2 F' U B' R',R U' R B D' U' L' D U B2 R' B R' U F',51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R D B2 D2 B' L,U F U2 B' R' B U2,B L B2 D' B' L D B2 F2 U F2,B' R' D R' D R2 D U F2 R' D' R U' R' B,,39
