scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,D2 L F U2 B2,U L2 R2 B' R2 B' U B2 L B',D' R F R B2 R D R' B' L' B' R2,B' U B R' F2 L' F' R' D' R F' R,R2 D2 R U2 R' D2 R U2 R,48
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,D L' U' B2,D' F D' R F' D2 L R U2 B2,B2 R' B R' D' F2 R2 U' B D B2 L',D B F' R' D R B' F D' L',B2 R' D F2 D' R B2 R' D F2 D' R,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L' B' R U B',R' U2 B2 L' R2 B2 U F2 L' F2,L B F' L' D' B2 D2 L' D2 B F,B L' B L B L' B U' L' U L B,B D B' U' B D' B' U,46
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B' R2 D L2 F',B2 L D2 U2 L' F' D2 R,B U' B F R' B' U' R' F' U2 L2 B2,B2 U B' R2 F2 L2 B' L B L D F2 R2 B',D' R B2 R' D R D' B2 D R',49
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L B' U B' F2 L' D,L2 U' B' U2 R' B U2 L,B2 L U' F' D' L' D2 F U B',R' U L2 U' L' F' L2 F L R,U' B D B' U B D' B',43
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,R' U B D2 R F,B2 R2 B U' R2 U B U2 L2,B2 L U' F' D L' F U B' L2,R D F L2 F' L' D' R2 U L' U' L R,R2 B' D2 F D' B' D2 F' D2 B D' R2 B,51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D' U R' F',L D F D' L' R B' U R' U2,U' B F' D' B F' R' B2 F2 L2 U,R D L' B R2 U F' U' F' R2 B' L R',L2 B' U' B U2 F' L2 F L2 U' B L2 B',51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D2 R U2 R D B2,R' F R U' B F L B' F2,L2 U' B2 F2 R B2 F2 L2 U L',B' D' L' D B' D' B2 L R2 U' R2 D,R2 B' D2 F D' B' D2 F' D2 B D' R2 B,50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,F R' U' B2 F2,L' U' B2 F D' F D2 B2 F2,L2 B F L F2 D B' F L B D B',U' F R B' R B2 D R2 F' R B U R',U2 F U' B2 U F' U' B2 U',48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B2 L' F U2 R2,F2 D F' D' F' U' L',B2 F D2 B' F L D2 L F2 L B',U' B F' U2 B' L2 B D' U2 B' D F U,B' L2 B D2 F' D B D2 F D2 B' D L2,49
