scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 L R D2 F' U,D' L2 F' L' B2 R2 B2 L',D2 U L' B2 R B2 R' D2 R U',U' B2 L B' L' B2 D U' F L2 F' L D' U2,B D U' L2 D' U B,45
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B2 U B F2 L D' R',B2 R2 U B2 D L2,U L U' F' L' R' D L B R D',D' B U' B' D2 F L2 F' D' B L' U,L F2 R2 D' R2 F2 L2 U' L,45
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R D2 R2 B F2,R2 B2 U F R D2 U' B D2,L' D2 B' U' F' U B D F D L,L' F' L2 D F' D2 F L2 B D B' D2 F L',R F' D2 F L R' D' B2 D L',49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F2 R F2 D B,U F' D2 U F L U2,U' B F2 R' B U F2 U' F2 U B2 U,U2 L D L2 F2 L F L' F2 L D' U2,L' U L2 F2 R2 D R2 F2 L',45
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U' B' F2 R' F2,D2 B2 R U F R' U' B2 D2,L2 F2 D F L2 R2 B L' B2 U' R2 D2,R2 D2 R2 U2 L B R2 F R2 B' D L D' U2,R F' D2 F L R' D' B2 D L',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B' D' L B' F2 R',B D2 R' B2 U F U' B,B' F' D2 R2 F' R B D B R D',B' D2 U' R D' L D' L D' R' U B' D,R F' D2 F L R' D' B2 D L',48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F R2 U B2 U2 R,D' B2 U B2 D' L2 D2 L2,R' B' R' U' B' L B' L2 U B2 R2,U' R' U' R D L' D2 R' B' U R D B U,B' D U' L2 D' U B',46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R2 B U2 F U B',B2 D' B' R2 B U' B2 U,D' U F2 R D2 B2 F' U2 L B2 D' U',U B' L B L U L U' L' B' U' L2 B U',L F2 R2 D' R2 F2 L2 U' L,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F2 R' D2 B U' F',R' B U2 L' F' U' B2 D L2,L' D F D2 L R2 B2 R D2 R D,U' B' L' B' L2 B2 L2 D' U2 B' D B U' B2,F U2 F' L' R U B2 U' L R',50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' U F' D2 L' B2,D B U2 F2 U2 R B D2 B,U R2 B2 F2 L2 B2 F2 U',U2 L2 R' F' D' L2 B L2 B' D F' L' F2 R,L' R U B2 U' L R' F U2 F',47
