scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 D' R2 F L' F,R F U2 L U' F' R',F' U' L2 U F' D2 B D B2 D F2,B' U' R F2 D' L R' B D2 L' U B,U F2 U' F' L U F2 U' F' L' U F,48
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D2 F2 L R D B,B2 F2 R B2 L F R F R',L2 R' F' L U L U' F L2 F R,F2 U' B2 F2 L B2 F2 R' U F2,R B' R' B' R2 F D B D' B' F' R2 B2,49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' D F L D B,R F U' B U' B' F L' F2,U L' U L2 U' L' U L' U2,B2 F L B R2 B2 F2 R2 B' D' F D2 U2,B2 U L' R B2 L R' U B2,46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L D U2 F R2,L U R' U' B' D2 R' D' B,B2 L' U L' U' L2 B2 L' U' L,B' D2 F2 L U2 F L2 R2 B D2 L B F2,F' L2 R2 B D B' L2 R2 F U',47
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U' R B2 F' R2 B,B2 R2 B U F' D' R D' B U',L2 U2 F' L' B L' B' L' F L2,F2 R B F' L U B F' L' D' L' B2,B2 U L2 F2 L' D' L R' B R' D F2 L2,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F D' B2 F2 D',U L D2 L' B2 D2 F' U' R,U' B2 U F U' B2 U F',B2 F L B' U B F' L' F L' B2 F',F' U L R' F2 L' R U F,43
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' L2 F R,U F2 U B D U B' L' F2 U2,L2 R B L2 B' L D' B D R',F2 U2 R U' B' F R D' B' F D2 B2,B' D2 F' R' D' F D' B2 L' U B' U',48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D' R U' F' R B',R' B D2 L' D L' B' R,D2 R' D L2 D' R D L2 D,F2 D2 R' B F' U' R2 D2 L2 D2 B' F',R' U F' R2 D' L D' B' L' D2 R' U',47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' B L2 F L U',R F2 L' B' D2 B2 D' F2 U2 B',L U' B D' B' D L2 B U B2 L',D B2 L' D' L D B2 D2 U2 R F R' U2,,40
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D' B' R U B' U2,D' L2 R' F2 D' F' L2 U' R D,R D' L D' B' D B2 D L' R',B R2 F2 U L2 B F' D2 L' B2 D2 F',L' U' L U2 L2 D' U' B' U B D L2 U',51
