scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F D' L2 U,R' B D2 U F' U B' R' F,L F2 L' U' L2 B' F2 U B L2 U F',F2 L D2 R' B U2 R B2 F2 L' F' L2 B L',F' D U' R2 D' U F',46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 D' L D' L2,L F' L' R B' D2 U2 B2 D B',B R U R U L' B2 L R2 B',L2 F' D' R2 F2 D' L2 U2 B' L2 R' D' L2 U2,U' B2 D B D B' D2 B2 D U R D' R',52
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R' U L F U2,R2 B' R2 D R2 D B' R2 B2 R,B2 F2 D2 B' F2 U2 R B R' U2 B',L2 F L D2 L U L' B F D' F' D2 L U',B' D2 B L' R D' F2 D L R',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 R B L R,U2 B2 D' B D B L2 U2 L2,F' U B' U' F U B U',D' B R U R2 F2 R2 U R2 F2 R B' D,L R' U F2 U' L' R B U2 B',45
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U2 F L2 R' B' L2,B' D' B2 D' U F' D2 B' L2,B' L2 D L2 D R F2 U F' R' F' D2 B,B U R D' F D' F' D2 B R' U R' U2 B2,R' U' R D U B2 U2 B' U B U B2 D',55
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U F' R' D' B,U2 R2 B D' L2 F' U L2 B',F2 D2 B' R2 U' B2 R2 F D' L2 B,R' F' R B U F2 U' F' U' B' R2 F2 R,L R' U F2 U' L' R B U2 B',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F' R2 U' B R',L B D2 U2 F' D2 U' B' L',R' B' R U2 R' U2 F D B F2 L2 F,D2 R' B U R B2 U' F D' F' D U B D,U' B2 D B D B' D2 B2 D U R D' R',53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' L' U2 B' F,F2 L F' L2 F2 R' F R',R' F2 R U L2 B' L' B U L B U2,D B' R' U' B' R U R B R D' U',R' U' R D U B2 U2 B' U B U B2 D',50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' R' B' L' D',U' L' R2 F L' U' B2 D' B2 L2,U F' U L U' L U L2 U' F U',D B R' B U2 B' R' U2 R B U' B2 R D',F' D U' R2 D' U F',47
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L2 B U2 L R,U2 R' B2 D' L B2 L' U2 R',D F D2 U2 B U' R2 D L2 U' B2,R' F U R2 U2 B2 D L' B D' B U F' U' R,B U2 B' L R' U F2 U' L' R,50
