scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R2 B D' U2 L,D' F L B L B2 D2 L2 D2 F',B2 L R' F2 L' D R F' U2 B2,F' D' L' D' F2 D F L F D2,D2 F D F' D' R2 B' D' B D R2 D2,47
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U' R B U F,L' U2 R B R2 U2 L D2 F',R' F' D2 F R2 D2 F' D2 R',F L2 R2 U L2 R2 D' F',B D2 U2 B F' R U' B2 F2 D L R2 F',44
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F' D' L B' U' L',D2 F L2 B L2 U' F' U F',R F D R' D R' F2 D2 R2 F2 R,F D' L2 R2 U L2 R2 F',L R2 D' F' D' F' R F2 D R2 F L' F',47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D B2 F2 L R F,D B F2 D' B2 L D B' F D',L B D2 B D2 R' F2 R D' B2 L' U2,R' B' U2 F2 D2 F2 U2 B' R,D' R' D L R B2 R2 B' R B R B2 L',50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D B' L F' D2 F,B2 L B2 F2 U' R' F2 U F,U' F2 U B2 D' R D2 L R2 U2 R,L' F' L F' L' R U R' F L,F D' L B F' D' R F' D R' B' F D L',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D' L B U' R2 F',D L2 U L B L' B2 L2 U',L U' B2 U R B2 D' L2 U L D',D' U' B D2 L' U2 F D U F' U2 R D2 B',R2 D' B' D2 R' D' R B R2 D R',51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F2 U' L' U R U,D L2 B' U B' L B' L U',B D2 L' D2 R' D R F' D' L B',R' B U' L' D' U B D B' R,R U2 L2 B D2 L2 U2 F R,45
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 U' L' U F' R',U F' R2 D' L2 U L2 D' F U',B' F' U2 R' B' R D2 B U2 B,F L2 F2 L2 D R2 B2 R2 D F',F D2 B2 U' L U B D2 F' L' D' L B,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 U L' U2 B',F2 D2 U' F R' D' F R2 U,U B2 U2 F U' F U B2 D2 F2 U',B2 D' L R' B' L' R B2 U2 F2 U2,D2 B D' R B2 U F' U L F U2 B D',49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L2 B2 U B2 L2,R' U2 R D2 L D2 F' L' F',L2 D2 B' U' B D2 L2 U F U',F' L' R F L' R U' B2 L2 R2 F',R2 B R F U2 F' D' F' D F2 U2 B' F' R,49
