scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B2 R' F2 D2 B',B D' U B' R' D U F U2,L' R B2 D' R2 U R U' L B,D2 B' L2 B' R' B L' B L2 B R B' L,B U' L' R B2 L R' U' B',46
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,D' R D B U2,D U' F L' D' B U,D2 R' U' R2 B2 L' B L R2 U R D2,R' B' L2 B2 L B' D' B D L' B' L2 R,U' B' U B F' L' B L B' F,47
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F R2 D F2 L' B2 F,F2 L' D' F2 R' B F2 D F2,U2 R U2 R U2 L' D' L R U2 R2 B',R' F U' L2 D L D' L2 U L' F' R,B2 D2 F2 R' F2 D2 B2 L',48
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U2 R2 U' F' D' R',F' U L F' L' R' F R,D U B R2 F' U' L U2 F D' U2 R2,F U' F2 D2 U2 L' D L D2 U2 F2 U L2 F',B F' D L2 D' B' F L U2 L',50
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,B2 U2 F D2 F2 D',U' B D F D2 U L' R' D,D2 U B2 U' B D' U' B U B' D',R F' R U2 L' B' U2 F2 R' D2 F2 R2 F,,39
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' R2 B2 L F,U' R2 B R F2 U L' U' R,R F2 D F2 L' B' L F2 D' F2 R',F' L F D F D2 L D2 F D' F' L2 F',B' L2 B2 L R D L' D' R' B2 L B L,51
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U2 R2 B D B D' B,L U' F L D2 U B D2 L2,L2 U F' D' F2 R' F' R2 F U' L2 R2,F2 U' B U2 B' U' B2 U' B' R B' R' F2,B F' L' B' L B' F U' B U,51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B2 U B F D F2,U' L U2 F2 R2 D' B D R2 U',R U2 F2 R2 B F' U' B' U' F' R' U',D2 L B D' F' R' D R2 B' D' F D L',,41
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 U L D2 B' U2,L F L' B F2 L2 B' U2,U2 L' R F2 L R' U' B D2 U',D B D B' L' R D' L2 D R' D2 L D L',L B2 D2 F2 R F2 D2 B2,46
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R U' R2 B' D' U2,B' D2 B' R2 D2 L' B' L,U2 F2 D2 L2 R D' L2 R' B2 D2 F2,R' D2 R D2 B2 R B' R' D' R2 D R B' D2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,53
