scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B' U' B' D' F' R',U F' U B F U' B' L',L D' L U L' D2 L D' U' L2,D L' B D B L B' D' B' L D',F L' F' R2 F L F' R2,43
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' D R2 D2 F',L F' U' L U B' F,D U2 R F2 D2 R U L U B2 D L,R D R2 D F' D F D2 R2 D' R',R2 U' F L2 F' U R2 U' F L2 F' U,47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' L2 U R F2 U,B' D' R' U2 B' R' U R2 D,U B2 D B R2 B2 R2 B' D' U',B' L' D R F L2 F' R' D' L B,R2 U' F L2 F' U R2 U' F L2 F' U,48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F2 L' F' R B' D2,D' L' R B2 L U2 B' D,R2 F D2 L F' L' D2 U' F' U R2,B R' U B L U L' U' B' R B',U' F L2 F' U R2 U' F L2 F' U R2,48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' B2 D' R B D2 R',L2 R2 B L R' U' R' B' L',U F R F2 D2 F2 D2 R' F' U',B' D B' U' L' U B L B D',D2 L U' L' D2 L U L',44
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' U' F U' R' D,L U' B2 D' R2 B2 D L' B,U2 F' R2 U' R2 U B F R2 B' U2,F L2 B U' B U B2 L2 B U B' F',B2 U F' U' B2 U F U',46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F' D' U' F' D,R' U' R' F' L U2 F U2 R2,U2 L D' B R2 B' D' R D2 L' U2,B' F' D2 F2 U L U' L' B F2 D2 F,R2 F' R2 B R2 F R2 F' R2 B' R2 F,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' L2 U2 F' D F2,D2 R F D B2 L U2 L' D,F2 R2 D' L F2 L' F2 D R2 F2,B U2 F' R' F2 U F2 U2 R U2 F U B',B2 R' D F2 D' R B2 R' D F2 D' R,50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F2 U' L2 B2 R' D2,D F2 U' L' D F R D2 U,B' D B2 R D2 R D2 B2 R2 D2 R2 D B,L U' L2 D L' D2 U B2 D2 L' D',D2 R B' U2 B R' D2 R B' U2 B R',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' R2 F D F2,F2 D' B L2 B2 D F L F,R' F R2 D' L R' F' L' R' D F' R,L2 F D' R B2 R' B' D R B' R' F' L2,R2 F L' F' R2 F L F',47
