scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B' U' R D2 B' L',L2 B L2 U2 R' D2 F U2,L' R D2 B D F2 D' B' F2 D2 L R',B2 R B' R' D' B2 D R2 D2 L R2 B L',B D' L D L2 F2 R U R' F2 L B',51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D2 B' D B' R2,L F2 R2 D' F D R' F2 L',F R2 U2 F U' F2 U F U2 F' D,B2 L' R2 F' R' F R' F' R' F L B2,R U2 R' B D2 B' R U2 R' B D2 B',49
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,F U2 L' F' R',D' B D' R' B U R B2,R' D2 R D2 B D2 U' R' D2 U R B',R U R' U' F D' L B' D L' F' D R' D',B D' L D L2 F2 R U R' F2 L B',51
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R' F U B D F,L' U' B R U L' R' D L2,D U2 L' D2 B L B R' B2 R D U2,U L2 D F2 D R D' R' F2 D' L2 U',U R F R F2 U2 B L B' U2 F R2 U',52
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B' D2 L U F' R',F' R' F U2 R' D2 U2,D2 R F' U' L D L' R2 U F' R' D2,U F2 D2 L2 D B' D' B L2 D2 F2 U',B D' L D L2 F2 R U R' F2 L B',49
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,D' L D' U' B' F',R2 F D' R' D' F',R B' U' B2 R2 D' R U' F' L2 F U2,B2 D2 R2 U2 L' B' L B D' U2 R2 D' B2,B U' B' U' F' U2 B' U F' D' F2 U' R2 B,51
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B' L B' R F' U,R' B' L F L' B2 R2 U' B',F' U' L U2 R' F2 L2 D R F' U',B2 R' D F' U' B2 R B2 U F D' R B2,D2 B2 R2 U F' U F U2 R2 D B D' B2 D2,53
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L2 F' L2 F2,R' F2 D2 U' F R2 F U,D2 L2 F' D' R' D R' F L2 D2,R2 B R U' L' U2 F U2 L U R' B' R2,B D' L D L2 F2 R U R' F2 L B',47
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,R F' L' B2 U2,D L R2 F' L' D B2 U B2,U' R' F D2 F' R2 U L' F2 L D2,R2 D' B D' B' D2 R2 D' B L B' L' B' D,D2 B2 R2 U F' U F U2 R2 D B D' B2 D2,53
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,L' D' L U B',B' U B' R2 B' D R U' B' D2,R2 B2 L' U2 L B2 R' F2 R',D2 R D' L' R' U2 B' L2 D' L2 B U2 L D',L' R' U L B' L U' B L' D L' D' U' L R B',54
