scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R2 B R B2 R2 U',F D' B D U F' U' B',B R B R' B2 D L' D L D2,B R' B D2 B' D2 B L' R D2 L B',D2 R D' R D R2 B2 L U L' B2 D2,48
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B U F D B,U B' D' L2 B U',L U B' U B2 U2 B' U B L',D U' R F' D F D2 R' D' F' D2 F U,,34
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L U' F2 L U2 B',D' U' F R U L2 F' L',R2 B2 L U2 R2 U B' R B L' B2,L' D2 F2 D F2 D2 L B2 R D R' D' B2,,38
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D L' D2 L' R',D L2 D' B' U2 L U B L,B R F' D2 F2 D R F2 D F R2 B',D2 F' R F R2 B R' B' L' R' F L R',,39
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B2 L2 F' R U' L2,D' U' F' R' F U,B R' B R D B' L U2 L' D' B2,L' B R2 U' R' F' U' F U R' B' L,L' R F2 L2 B D B' L2 F U' F U L R',49
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F' R U L U2 F2,L B' U' L B' U B2 L2 D,B2 U B2 L2 D L D' L,L' B R F' R' U F' R F' R' F2 U' B' L,D B' D B' L2 U' L2 B' U' B U B2 D2,50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,D U' B2 L B' D' R',U L B' L B D U',L2 D' U B' R F' R' B D U' L2,L R B R' B' F R' B R2 B' R2 F' L',R' U' R D U B2 U2 B' U B U B2 D',51
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R2 D' R D2 B L',R2 D2 R' D F' D F R',L U' L' D L B' U B' U L' B D',U B' L2 D B R B' L2 B L' D R' D' L U',R' U' R D U B2 U2 B' U B U B2 D',54
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D2 L D2 U' F U B',D L B R D' R' B' L',B2 U R' B F' U' B' F U' R B2,U B' L' D2 F D' B D F' D2 B' L B U',L D2 B' D B' L U' B L' B D L' R' F' R,55
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D2 U2 B2 R' F',B R F' D F' D2 F' R' B',R2 F' D' F D F L' D' L R2,L2 F' L U' B2 U2 F' L' U2 B2 R' U F D2 L,L D2 B' D B' L U' B L' B D L' R' F' R,54
