scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' F' L' R2 B U,F D F2 U B' D' U' L' F,U2 B L R U' R' B' L' U' L U',R U' R' D2 R U' B' U B U R' D2,R B' R' U R B R' U B' U B U2,50
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D' F' U R,B D' B' L' R F U' R' F,F2 U L2 D U2 R' U F' D' F,F2 L2 D2 B D2 L2 D' F' D' B D F D F2,U L2 F' D F' D' F2 L2 B' U' B U',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F' R B U',D' F L2 D U' R2 F2 U L',D F2 U2 R2 B' R2 B D' U' L U',U2 F D B R2 B R' D' R' F' U' R' U',,38
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R2 D R' D2 B,D F2 U B D' U' L,F R U2 R' F2 D' L' D F,B' L' R B2 L R' U R U F R F' R' B,L F' R' B2 L' R' B' L R2 F L' D2,47
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B2 L2 U F' R B',U' F' U R' D B R F2 D',F' D U2 F U R2 D R2 D2 L' U F2,F' U' F2 D2 B' D2 F D2 B D2 F2 U,F R2 U2 F D F D L2 B2 D B' D F U2,53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' R' D B2,U L2 R U' F D B' D' F',F' L2 D2 F' U' B2 F D' R2 D' L2,R U' F' U L' B2 L U' L2 B' U' F2 D' F',L F' R' B2 L' R' B' L R2 F L' D2,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' D2 B' L D' F R,L2 D2 U R D' U' B' D' L,L' D L D F D' F L' D' F' L F,F U' F2 D R2 B2 U B2 D' R2 U F,U2 L U2 L' U L U2 L' U' B' F' U B U' F,55
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 U' L B F R2,U B D2 L' D2 B L B2 U',D2 F L2 F2 L D2 L F' D2 F,D2 U' R D' B F' U' R' F R B D' U R2,U2 L U2 L' U L U2 L' U' B' F' U B U' F,54
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L' U B' F2 R B,R2 B' U B U2 L' U' R2,U' F' D2 L2 F R2 F D' F2 L2 D2 F U,R B' F R B R D B' U' B' D' U R F' R',F R2 U2 F D F D L2 B2 D B' D F U2,56
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B2 F' L' R2 F',R' B2 D' R2 U R2 B D L2 R,F2 R' B2 D2 F' D' B R2 B F R F2,U' R F R' F' R U R' B' R' B U' R2,U2 L U2 L' U L U2 L' U' B' F' U B U' F,55
