scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R2 B' D2 B2 D B',U2 R' B U B2 R U' R2 B U',B R2 U R' U2 F' R' U' B' R F,L' F D' L' D L F' L2 F' L F L2,D L F2 L' D' U B L2 B' U',49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F' R D2 R F,B' L' B L U B U,B' U' F U R F' R' B,L U2 R U R' U2 B L F' D2 F L B' U',D L F2 L' D' U B L2 B' U',44
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' D2 L D2 B D F,U' R2 U B' R2 U' B R2,F' D R' F R2 F R' F2 D' F',L2 F2 L B D2 B' F U L U2 F U L2,,38
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B2 F2 D' F L' R',B' L' R' U' B' L U B U2,F' R' F2 R D' R' F' R D F,B D B U2 F R B' R' F' D' B U2 B2,F L F L' F2 L2 B F D F' D' B' L2,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L2 B L2 D B R',U' R2 B2 R2 D' F D B2 R',D R' D2 F' D2 F2 R F2 D2 F D,R D F2 D' R' F' L' D' L2 D F L,B D U' L' F L D' U B' L',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D' R2 D' B R,U B R2 B U2 L' R2 B' L,R D' R U' B' R' B D R' U,L' D' L2 F2 L D' L D F2 L2 F' D F' L,,38
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L2 F R' B',U2 R B' U' F2 R2 B F2 R',B U' F2 U F' U' F U B' F,B F2 U' F2 D' F2 U L F L' F' D B' F2,F L F L' F2 L2 B F D F' D' B' L2,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' D B' L D2 B L,U2 B2 R U' B' U B2,U F' U2 B' D R D' F' R' B F U,B' F' U F U' F R2 B F2 U F U2,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,52
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' L D B D2 B,F2 L F' U F' U L',B' R2 U F2 U' B U F U2 F,R U' R U R' D2 B' U' F' U B F D2 R',,37
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D' L2 D B F' L',B' R F2 U L2 D L2 U2 B,D B2 F2 L2 F2 U B D F D2 B,F' D F' D' F D' B R' B U B' R B' F,F L F L' F2 L2 B F D F' D' B' L2,53
