scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F D B' U2 L D,F R D' L2 U L2 D F R,U2 L2 B' L' D' F U2 R2 B R D F',B' D' B F D' B F' R B2 D B,R' B L2 U2 L2 D2 R2 D2 B' R,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B F2 D2 F R',D2 B' L U2 L' U2 B' D2 U2,L' U B2 L' B2 R F D R' D' U' L,R' B' L2 F' D' L' F L' B2 U' R B',U2 B D' U R' U R D U' B' U,49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B' F L R2,B F' L D2 L B' L F' L,B' L' F' R F2 D F' D L B' R2,D' F2 D U F' L2 D2 L2 F' U',L2 B2 D' R2 B2 L2 U' F2,43
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R2 D' L' U' B2,B2 F' D F2 D F D2 F D B2,D' R2 D F' D' U2 B U2 R2 D F,R' B' L F' L2 D' B2 R2 B2 L B' U' B2,D' F2 D' L R' B D2 B' L' R D2,50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F U R' B D,F' D2 B D' B2 U' L2 U R2 D2,R2 F D R' F' R' U' B2 R' B U,D B' D' L' F D2 F2 D' L B D R',F2 D L2 B2 F2 U B F' L' U2 L' B F,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U F' R U2 B' U,F R2 D2 B' D' B' D' R2 F',D2 U F' U' R2 U L2 U' R' F D,F L U F D2 F' U' L' F' R2,F U' R' U B F' L' U L B',46
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R F D' U L2,B2 D2 L' F L D' B2,R2 F R D' B R2 B' D' U2 L U2 F',F' U F2 U2 R U2 F2 U2 R U F,D2 L R' B D2 B' L' R D F2 D,46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 F D U' R2,L2 F U F2 R' F' L2 D R,B D' U' R D R2 F D2 F' R' U B',R2 U F R U F2 U' F' R' U',B2 U' B2 F2 L2 D' B' F L U2 L B F,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L F' D2 L2 D L2,L R2 B L2 R D F' L R,R F' R' F D' U' R2 U' B D B U2,B' L' R' D L' R F' L2 B,B2 L2 B' F' L D2 L' B F' D F2 L2 U,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R' F' U F2 D,D U B2 R D B F2 L2 F2,L2 B F U' R' F' R' F U B' L2,R2 B' D2 L' F' L R' D R D2 B R2,U' R D U B2 U2 B' U B U B2 D' R',50
