scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U R' U2 B2 U',B' F2 D L2 U B' U' L2 F2,L2 B2 D L' R2 U2 L' F2 R2,F2 L2 D R' D L' D R2 F2 L' U' R',,35
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' D' F' L' D2 U2,F2 L2 B D L' D2 F2 D2 B',D2 B' D B' D' B' D B2 D,D2 R2 D' B D2 B' R2 B R2 D' R2 D' B' D',L' R B2 L R' U2,44
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F' U' B2 D B,F R U2 R' B L' B' L',B U L B2 L' D' R D2 R' U' B',B D F' D' F' L F L' F' D F2 D' B' F',L' R B2 L R' U2,44
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B2 L2 B2 D2,D R2 B' R D2 B R D',B' D2 L' R D' B R' D' B L D' U2,L F2 L U R' F' R F U' L' F2 L',U2 B D' U R' U2 R D U' B',46
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D2 L' U2 R' B2 D,U L R' U2 B2 L' B2 U,B' D2 B' D2 B' R D R' D' B2,L' R U L U' L' R' B L' B' L2,B2 D' L R' B U2 B' L' R D,45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B U' F2 R B2 L,L2 U2 L' U2 L F U L2 U,L' D' L' U2 R F L R2 F2 L R,F' U2 F' U' B' U2 F U B R2 B2 R2 F,L' R B2 L R' U2,45
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L U2 B U R,F D' L F' R2 U2 B R2 D,L R2 F2 U' L F' L2 R B U2 R,D L2 F U B' D2 R' D2 B U' F' L2 D',B2 D' L R' B U2 B' L' R D,48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L2 R' U B2 R' D,F2 L' D B' F2 L' B L,B D B D' B D B D' B,F2 U2 L' B R B U' L' D2 L U' L R',U' B F' L' B2 L B' F U' B2 U2,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' F' R U2 B2 U,F L F2 L2 F' L2 F L2 F,F' U2 B2 R U' R' U B2 U2 F,U2 B' R D' B2 D R' B D U2 F L2 F' D',R2 F U' R F' U L2 R2 D' B R' D B' L2,53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F U' B' U B' R U,L' F2 L2 F L' R' D' R,R' B2 L2 R D L D2 B D2 B' L,L2 F2 D2 L' B2 D2 L U R2 B' R' U' B' D2 F2,U2 B D' U R' U2 R D U' B',51
