scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' B' D' B' D2 F',L' B D' U2 F2 D2 B D' L,B L F' U' F L U2 L' U L' B',F U' L' U L' B2 R D' R' B2 L2 F',,38
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' U2 F U2 L',U' L' D2 L2 F' U L' D2 L,B F' U' L' F U L U L' B',F' R' U B' U' R' U R B R F,,35
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,L2 D2 B D2,F2 L2 R' B' R D' L2 F2,R B' F2 R2 D2 R' D B R' F2 R',D L2 R U F' L U' F L2 R' D' F,R' B F2 L' B' F' L2 F' R' B D2 B' R2,48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' D L R' U' B2,L2 D' L2 U' R F' U R' F',F L2 B D B2 F U2 F2 R B' D B2,B2 D' F2 D B2 D' F2 U' F' U F D,F' D L2 D' F R2 F' D L2 D' F R2,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' B D' F U' R,F2 L F2 D' L D2 L' D L',R B2 D' B D B R' F' U2 F,U B' U' R2 U B U R2 U2 R2 U2,R2 D' F2 U' F' D B' D2 F' D' B' D' B2,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F D' L R2 D F,D' B2 D B' L R B2 R B,B' F D2 L' D2 L R B F D2 F2 U',L D U F U' F' L' U' L D' L',F' L' B' L' D2 R2 F' R' F R' D2 L2 F,51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L D2 R U' B R D2,L' D L' D2 F D L U',R' B F2 L' B' F' R F2 U2 F U,B2 L D2 U' F D F' U F D L' B2,F' L' B' L' D2 R2 F' R' F R' D2 L2 F,51
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,D F U B F2,D' R F D F R D' F' R',U B F' L' F' U2 B2 F2 R D2 R' B,L' D2 R U' F R' D' F L' F' D F' D2 L,F' D L2 D' F R2 F' D L2 D' F R2,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D' B U' L' R' B2 D2,D' F D L2 R' B2 L2 R U',B F' L2 B2 U F U' B U2,B2 D2 U L2 D' U2 L2 F' U' B2 U2 F D',F' L' B' L' D2 R2 F' R' F R' D2 L2 F,51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R D R B D2 L',L F2 D F2 D2 F' D2 L',U2 F U2 F2 U F2 U F' U',D' R U' B' U R' U R U' B R' D,U R D' U' F2 L F' L D' L' B D L' D F',50
