scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R B2 F' U F,U' F2 L' D2 L2 U L' F2,L2 R' U L2 D2 B U B' R D2 U2 R,D2 L' B2 R' U' R' U R2 B2 L D2,D2 B F' R' F2 R B' F D' F2 D',47
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B R D' L' D' B',R' D F' R2 B' L R' U' F,L' F' R2 U' B' U B L2 R2 F L' U2,R2 U2 R B R' U2 R2 B' L' B L,B2 R2 F2 D' F2 R2 B2 U',46
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D F' R2 U R' B,F2 U' B D2 F' R2 F' D B',D' R B R' D U R' D' B' D R,F D2 L2 B R D2 R D2 R' B' L2 D2 F',L2 B' F U' F' U' B F' L F L',50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' F D F2 L' D',R B D U' B2 R' D' U R,F L2 B R U2 R U2 F' D2 B U2 B2,D2 L' B2 R' U' R' U R2 B2 L D2,U2 B F' L2 B' F,44
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B F D' R' D',U2 R D2 B' D2 B R',R' F2 D' B2 L2 B' D F2 D' B' D R,B D U2 F' D F U2 F' D2 B' D F D',L U' F U F D2 B R D B' D F2,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D B2 L2 R B2,L2 R' F D' L D L R,D2 L B' L2 R2 U' L2 U2 R2 U' B D2 L,L U2 L' D B' U B D' L U L' U,F D' R D B F' R' U' R B',48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D2 L' D' R D' B2,B2 F' R U R B2 U' F D2,L2 B U R' D' B' D R U' B' U L2,R2 F' L' F2 R' B' D2 B' R2 F' R B2,U2 B F' L2 B' F,45
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L R D L2 F' L2 B,U R B2 R D R' B' R',R' F D R' D B R2 B' D2 R' F' R2,R U F2 D' L' B' L D F2 U' R',U2 R' F' R B L2 B' R' U' F U R,50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F2 U2 F D R,B2 U2 R2 D2 R2 B2,L2 U2 F' U' L2 U L2 F L2 U2,F2 L F' D B2 R2 B2 D' F L' F2,F' U' L' B D U L2 D' U' B' U L F U2,46
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' U2 R2 F2 L',B' R B D B2 R' B U2 B,R2 D2 B D2 U' R2 U' L2 F L2 U2,U' L2 U B2 D' B' R2 B' D' F D' F' D' L2,F' R' D2 B2 U2 L' B2 D2 F',48
