scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D2 R F U R F,B2 D' L F2 R U F2 D' B' D2,L' B2 U2 L B D' B2 D B' F2 D2 F2 L2,R' F' U' R2 B2 L2 R2 F2 L2 U F R,R B' R F2 R' B R F2 R2,50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F' R F2 U' F R2,B' D U2 L U2 L' F L' B2 F',B2 F2 R B' U R2 U' F D' B' F' R2 F2,L D' U B2 D U' L,L2 B2 L' F2 L B2 L' F2 L',45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R2 B F D U2 F2,B' R' U' L F2 U L' R,R' D U2 B2 L D2 U2 R' F2 D R,L' B2 L' R B' L' B R' B' L' B L2 B',B L' B' R B L B' R',46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L D F R D',L' B2 F' R2 F2 L' F' L B2,U' B' L' D L D' F' D' B' D2 F U,R2 U2 R U L2 U2 B U R' U L2 U R2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,52
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F' U R F2 U R2,L F2 D' R2 U B' D F2 D2 L',R2 D2 L B2 F2 R U2 B2 F2 R2,B U F U2 F2 D F' D R D' R D' B' F2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U L2 D F' U' R,L' B D R' B2 R B' L,U B2 F2 D' F2 U2 B' U2 B2 U',B' L' B' F' U B' U' B L2 D' L2 D B2 F,,38
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R' B L' U2 F L',D B L R' B R D2 B2,F2 D' B F L2 U L2 F2 D R' F' U2 B',L' F' D L D F U F' D2 B' F L U',L' B L F' L F' L B' L2 F2 R U2 R',53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U L' U' L' D' F,U2 L2 F2 U' F2 U' B2 D' B2,L F' D' B2 F U B' U B' L' B U2 B',B2 F' D' B' D' B D B D F L' B2,R B R' F R B' R' F',48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U F' D' U' L' F2,B' R2 B' L2 U' B U' R2 D2 U2,F' L B2 U B' U' L' F' R' F2 L B',F' D2 R' B' L' B2 R B2 D B' L B2 D2 F,F R B R' F' R B' R',50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R' B' L' D F2 D',D2 U' L' B2 D' L D2 L U,F R2 F R' D' R B D F' U F' U B',D L D' U2 B U2 F' L' B' L' B F,B L' B' R B L B' R',48
