scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D2 B2 L' F' D R',R B' R' D L U L' D',R2 B2 U' F R' F L2 B2 L D2 F2,B' D' L2 R D2 L F2 L R2 U2 R D' B,U2 B D' U R' U' R D U' B' U',49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B D' U R' B2,D U' F2 R U' B R' D',B F R D R2 F' R F D2 F' R2 B',R F R' D2 R F' R' U R' B R U',F2 D' B' F L2 B F' D' F2,46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' L' R' B2 F' R2,B D2 B2 D2 B2 D2 L' B,B2 R2 B' F D2 F' R' F R B' D F',L2 D' B' L B D2 L' R F' L2 R' D' L,F R U' L' R B2 L R' U' R' F',50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' L' D U,L U2 L' B' U L B U2 L',B' F2 L' F2 U' L' B2 R B' L,F D F D2 L F' D' L' D' L D2 F D F2,,37
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L2 U2 B L B2,D2 L2 F U' F' L' D2,B2 R' B' F R2 D' R2 D F' R B',U F L F' U' F R2 D L D' L' R2 F',R2 B F R' F2 U2 F2 R' B' F',46
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B U2 L R D,B' U' R2 B2 L B' D' F2 D L,L2 R2 B U2 R' F' D2 B L U2 B2 F,D U L' B2 L' D2 L D2 L' D2 L2 B2 D' U',F R U' L' R B2 L R' U' R' F',52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L2 D L2 R2,L' U' B L U2 L2 R' U2 B' U,R2 B2 U' R B2 R B2 R2 U' B2,F D' B R2 D' R D F' R2 F D2 B' D' F',F2 L2 B F D F' D' B' L2 F L F L',51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B D L D B2 F',D2 B' R B U' F L D2 L',B' U B' U2 B' R' B R2 U2 B2,L' D' L' B D2 B2 L B2 D B' D F' D2 F D,U L B' D U' L2 D' U B' L' U',51
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L' F2 L B2 U',D2 L F2 U B F2 D2 B' D2 L',D' R2 D R B R U' R2 B' R2,D2 L F' L' B D' F' D2 B' L2 D2 F2 D' L2 F2,F2 L2 B F D F' D' B' L2 F L F L',53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B' D' R B D2 R2,U2 F' D L2 D F2 U2 F' L U,F R' D2 R2 D2 U' B2 D2 U F' R',R' B2 U2 R2 F' L' R2 B' R D' F' D F D2 B',U2 B D' U R' U' R D U' B' U',53
