scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U2 F' U B D2,B R D' B2 D2 B D2 R' B2,L B' L2 F2 R2 F L2 B' L' R2,D' R B D2 F2 L F U' F D2 B' D,L' R D2 B L B' L' D2 B' R' B L,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' R D2 R U2,L F R2 F' R' B L' R' B',B F U2 B L U F' U' L B2,U L R' F2 L' R U,U' R B2 F2 L' D L B2 F2 R',41
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R' B2 U' B D',B' F2 R D2 R F' R2 U' F2,R F2 L' F' D' F' U' F2 D L F2,F2 L2 D2 R2 B' R2 D2 L2 F,F R U F R2 F' R' U' F' U2,44
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,L2 U2 F' D2 R' B,D' R2 B' R' D' R' D2 B',B U' B' F2 D R D' R' F2 R,U L' D B R2 B' R D' L U' B' R2 B R',U' R' F' L' B' U B L F R,48
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,R2 D' B' D',D' B2 R' D B2 F2 U L F2,L' R' U' R U F2 R2 F L R2,L' F' U' F' U2 L2 D' B' D L2 U' F2 L,B2 U L U2 B U B' L' B2 U' B,47
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,F2 U R' B' F',D2 F2 L' U2 B F2 U R' U',L2 B U B' R' U' R U L2,D B' D B R D' R2 D R D2 R,R U F D B R' B' D' F' U',44
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,F2 D U L' F,F L' F' R B R' F2 U' F2,D2 R' D' B' L D' F D L' B D',D' B' R D' R D F2 D F2 R2 B D U,U B' U' L' D' R' B R D L,48
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B D F L' D' U2,L2 F L' R' U' L' R2 D2 R',F' U2 F D F' R' F2 U' R2 D' F,U L' U2 F2 R' F2 R U F2 R U2 L U' R',R U F D B R' B' D' F' U',50
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,U' F D' B2 D2 U2,B F2 U' L2 F' U2 B L2,R U2 B2 F' D F D B2 U2 R' F',U' L2 D L2 B2 U R2 B2 R' B2 R' B2 R,U' B' U' B' U' B U B U B,48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F' L F2 L2 D,D' B F' U2 L' F U R' D,F' R2 F' R' D R2 D' R F2,F' L2 F' L' F' D R2 U' R' U2 R' D' L' F,B2 U L U2 B U B' L' B2 U' B,48
