scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L' D F U' B2,D2 R' D B F R F' D,B2 R D B F' R' F R2 B,L' B F R' B' R F' L R' B R B',,34
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B R' F2 D' L2,U2 B' U2 B L2 U F L2,B' R2 B2 D' B2 R2 F' R' B F,U' B D B2 U2 B' D' B U' R2 B,R' F' R U' F' L' B2 R B R' U B L F2,48
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B' U R2 F2,F L' R' F R U2 F' L,F U' L2 U B2 D' B F' R B,R' B2 R2 D' B' R2 B D R B' R B' R,U F D F D' F L2 B' U B L2 F U',48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B' F U' B' F2 R,F2 L U' F' R B R2 F' R U2,B2 R F D2 L D2 L' D2 F' D' B2,D2 U' B' U2 R U' R' F' U' B U F D2,D B2 D L' D L D2 B2 U R D' U',52
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D L' R' F D' B,L' D2 L D B' L B U' L',U2 F U L2 B D B' U2 F U',D2 R U' B' L' B L U R B R2 D2,D2 B' U B U2 L2 D F D' L2 D2 U,49
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B2 D' R' D2,U2 R' F D L R F' U,D L B2 U R' U' B' L' B',B2 U F' U' B2 U F U',U' F' U F U' B U B' U R2 F R2 F',42
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L F' D' L2 R',B' U F2 D2 L U' F' R2 F',B' R' U B U2 F' L2 F U,L F2 U2 F U F' U F2 L',R D L D F2 D' L2 B2 U L D' R U2,45
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U F' R' B2 D' U2,B2 D' B2 F2 D' R F R' F2,U' L' B D2 L' D B' U2 F' U',B2 R2 B U' B U B' U R U' R B,U' F L2 F' U R2 U' F L2 F' U R2,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,U2 R D2 B' D2,B' D' U2 F2 L F2 D B U2,B2 R D' R' U L' F L U' R2 B2,U2 R2 B' U B2 U' B' R2 U2 R2 D B D' R2,U F2 L' F' L F' D2 B R' B' D2 U',51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B2 U F D U2,F2 U F2 U' R2 B D R2,L' D' U L D L' F U' L,R F' L2 F U2 R' F' L F' L' F L2 F,R' F' R U' F' L' B2 R B R' U B L F2,49
