scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' F2 R2 U L,U' R B2 L F D F' U' B2,U' L2 U L F U2 B F' L,R2 D' U' R' U2 R D U F' U2 F R2,F2 U2 L2 D2 B' L2 U2 R2 F,44
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D L F' D2 U,F2 D L2 B' D' L2 R' F2 U2,L2 F U2 L2 R2 D' L2 R2 U2 F' L2,U B R B2 R D B U' L' B2 L D',R' F' D B F' R2 B' F D F R,48
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,R D2 B' D L2,L' B R' D' R' D U' L R,L B L' F2 R' U R U' F2,D R2 U F U2 F' D' F U2 F U',B R B R2 F' U' B' U B F R2 B2 R',47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L2 D' L2 U' F2,B' L' B' F' U' B2 D2 F R,L2 D2 F U2 F' D2 L2 D' B D,U2 R' D' R F U' R2 D R2 U',F2 U2 L2 D2 B' L2 U2 R2 F,43
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F' L U' L2 B F2,B2 L' U2 B D2 U2 L' F' L2 D2,U' L2 B' L2 D' B U R B' D,U R B2 U' L U' F2 L U2 B2 R2 D2 U',L D L D' U B' D' B D U' L2,50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L B R D F',F R2 B U F' U L B',D2 F' R' B' D' R' D R2 B F D2,B2 D B D2 R U R F R' U' R' D B,U2 L' R' U' R2 B2 R2 U' L R,47
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D F L U2 R D,B' L U2 F2 L F L2 D' U F,D2 R' D R U R D2 F' D' U',D U2 F R2 U2 L D2 L D L2 B' L' B,F2 U2 L2 D2 B' L2 U2 R2 F,48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F L' D2 F L' D,R' B U2 B U B L R B,L B' R B' R' B' D' R D L',D2 R2 D' B' D R2 D' B D',B' L' B' F U B' U' B F' L B2,45
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U' L R D L2,L' R2 D U2 B F2 U L' D' R,B D L' U F D' U' L U2 L' U2,R' B' U' B U R D2 R2 D2 B D2 R2 D2,L' R' U R2 B2 R2 U L R U2,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F' U' L' R' D2,R' U B U2 B2 R B' L2 B2,B D' B D2 F' L2 D' B2 U B U2,L' B' D' L U R2 B' R' B L' D L U',L' R' U R2 B2 R2 U L R U2,48
