scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' U' L' B D B2,U2 F L' B U B' U L' F L2,R2 B2 R B D B' D' B2 R,D B F2 U' F U F2 D' F' D B' D',U' R B2 R2 D2 L' D' L D' R2 B2 U R',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F' L R2 D2 B D F',U' F R' U' F' U2 F R' F',R' D B' D U L B2 L' U' B D2 R,B2 L2 D B' F D' F' D B D' L2 B2,R U2 R D' R' U2 R D R2,49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F2 D U2 L B F,R B' U R' F2 R' B R2 U,F L D2 F' D2 F D2 U' L' U F',L' B R2 D' U R D2 R' D' U' R2 B' L,L2 F R F' L2 F R' F',47
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R B D R' D2,R U R' D2 L2 U' L B D2,U2 F D' U F L2 D R F R' U,B2 L2 F2 L' F L F L' F L' B2,U' B2 U F U' B2 U F',44
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F D L' F' L' D' F2,F D R2 U' B2 R' B' D' U,U' F D' U L U2 F D' U L D2 U,R' F2 U2 B2 D L' D' B2 U2 F' D' F' D,F' D F U2 B U' F' U B' D' U' F U',54
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B2 F' R2 D' L D',B' D2 R' F2 D2 U B2 L' B',R B2 D' U2 R' D' F D2 F' U2 B2 R',L' D R B2 R B2 R2 B2 R B2 D' L,L U2 L' U2 L2 F' L B L2 F L' B' U2,52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 F L' D' R B',F D2 U L2 D2 U' R F',B2 R2 D U2 R2 D' U2 R2 B2,U R' B2 D B' D' L' D L B' R U',L' B L F' L2 U L B' L' B U' B' L2 F,49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 F2 D L2 B,F R B' R U' B U' F',B R' F U2 L2 U2 F' R2 D2 R' B',L' D' F D F' R D B2 R B2 D' L R',B' U' R2 F' D2 B U2 L2 B' D2 F U' B,50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D2 L2 R D' B',D L B' R U R B D' B2,D B' R' D B2 D' B' R' B R2 B D',L' R D2 R2 D' R2 D' R' F D F' D' L,U2 L U R U R2 D' F2 D U L' U' R,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B L' D2 U F D',D F' U2 F R U' B' D' F' U2,D R2 F' U' B2 U F R2 D',L' F D' R U2 B L' B' L' U2 R' D L,F U F' L2 D F2 D' F L2 F2 L2 F' L2 U',52
