scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L B' L F',L R F' L' F R D' F',D' L' U2 B' D2 R2 B' U2 F' D2 L' D,U' F' L2 D2 R2 B' D2 L2 U',U' R' B D2 U2 F' L F D2 U2 B' U,45
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R B' D R' B2,B U' R' B' U2 R' U2 R2,R U' F R' B' D2 B R2 F' R' U R',U2 L2 D F2 U' B' R2 F2 L2 B L2 B D' U2,R U' R' U' R2 D B U B' D' U' R2 U2,52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R D' B' R' B2 F,R U R' U B R B' U',R2 F U L' U' B' F' U' B L2 F L' R2,D' R F D2 R B2 F2 L' U2 B2 F R' D,U' B D2 U2 F' L' F D2 U2 B' R U,52
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' R' F' U L' D2,L' B' L2 F' D B D' L',L2 D2 F' R' B2 L U' B' R' F U' B' L2,D2 U2 F2 L F' D2 F L2 B' L F2 R' D2 U2,F' R' F R B U2 F' U' F' U F2 U2 B',54
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' R D2 R2 U',R2 B U' R2 B U' B2 R,L F' L' B2 R2 B' R' F R F2 D2 B' L2,B2 U' L2 R' F L2 U2 L U L' U2 R B2,R' U' B' D' F' R F D B U,49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D2 R2 U' L U L2,D B2 U B D' B2 R B',L2 B' U' R' D2 B' R' D U R2 B L2 D,D B2 D' L D' U2 B2 U2 L D2 B2 F2 D' L',R' U' B' D' F' R F D B U,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L D2 L B' D',L F L D R' D L2,U2 L D B' U' F2 U R2 D' L R U2,L D B2 F2 D2 L' U2 B2 D U2 L' D B2 D',,38
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L2 U' L' R D',F' L2 F' D F2 R2 U' B U,F2 U' R' D2 L B R D2 L' F' U F2,L' D2 F2 L B' U2 F R2 F' R' D2 R2 B2 U2,U' R D U B2 U2 B' U B U B2 D' R',53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R2 B R2 F U2,L2 B' D' B2 R' B' D L2,F2 L D B D F2 R2 B' U2 R B2 R U2,L2 U2 L' D R U' F2 U R' D B D2 L' U2 L2,R U' R' U' R2 D B U B' D' U' R2 U2,54
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F D L D R2 F2,F R' F D' F' R F',D' L' D2 F' D' U' R U B D' B' L,U L' B R2 D R' B' D2 R D2 R' D' B R' B2 L,U' B' D' F' R' F D B U R,51
