scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U2 B' R U' L' U2,F D2 L U' L2 U L D2,L B U' R2 U R B' L' R F' R' F,F' U2 F' L2 U2 L2 R2 B' D2 R2 F U2,B' L' F' D2 B D B D' B2 D2 B F L,51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 U2 B' F2 D',L' U2 L D2 B D' B' D' F',B2 F R' B F D' U2 F2 D U2 B,B' U' F U B U2 F' L U' L' F U2 F',,38
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B2 R2 D' B R' D,D R' B R D',B' D2 L2 U B2 U2 B2 L2 D2 B,D2 U2 B2 D U2 L' B2 U L U' B2 L D,R D2 F D' F' D2 R2 U' B' U R2 D R',47
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U R D2 F D' R,U L' F D' F' U2 L U F2,B' F2 D' F2 D2 R U2 B U2 R D' R2 B,F2 D' F2 D' B' D' B U2 B2 D B D2 U2,B' L' F' D2 B D B D' B2 D2 B F L,54
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L D' B R' F U,L2 B L D U2 R' U2 L B',D2 L F' L B2 F U2 B L B L2 D2,D' U2 B' U L2 B' R B L2 R' B D U,R2 D F2 D' R U L2 D U L D' U2 R,53
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U R' F' D',F2 U' L D' L D' L2 U,F R U' L2 B L2 U R' F',D' U2 B' U L2 D2 B' R B R' D2 L2 B D U,U' F L2 F' U R2 U' F L2 F' U R2,48
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,U2 B2 U L' U2,L B' U' L' R F R2 B D,B2 D2 R D' R D L R2 B L' D2 B2,U L' D' U B' L D' U2 B' D B U2 L' D U2,R D2 F D' F' D2 R2 U' B' U R2 D R',54
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U2 B2 F' D2 L,D F L' U L B' R B D2,U' F2 U B2 D' R' F' R' B2 U' F' L2,R' D F2 D' R U2 L' R2 U' L2 U R2 U2,B' R U F' U L' F U' R U' R2 B F D' F',54
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U B' U L' B R D,L' U L U2 F' U2,F2 R2 D' B D2 B' D F2 R2 F2 R2,D' L' B L F' L2 F L' U L2 U' B' L D,B R B' F' U2 L U' L F' D L' F L' U' F,53
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L2 D' F L U B',B' F L' U L R' B F,R' U2 R D R2 B D' B' R B U2 R,U2 L2 D U' L2 D' L U L U' B' L' B L2 U',B R B' F' U2 L U' L F' D L' F L' U' F,56
