scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' F' D B2 D F',R2 D2 L' D L' F L2 R2,B' D B' D' B2 L' D2 L B',D B' U2 F U' R2 U' B U2 F' D' U2,D' B' D F' U2 F' D' B' U' B2 D L2 F2,48
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R F' U2 F U' F,D2 R2 U B R' B U2 B2 U' R2,D' B' R D R2 B R D' B D2,L F U2 B F' D L D' B R D R' B2,D2 B' U F2 D' L D F2 U2 R U R' B D2,53
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R2 U B' U2 F' R',L' R U2 L2 B L' B2 D R' F2,U2 F D2 F2 D R' D R F' U2,D B' U2 B2 L F' L' B2 F U2 B D',D2 B' U F2 D' L D F2 U2 R U R' B D2,52
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L2 F D2 R2 B D L2,L' R2 F2 D2 F L D R2,U2 L2 F2 D2 F D L' D2 F L' U2,B2 U2 R2 D' F L D L2 F' L R2 U2 B2 L,B' L2 B D2 F' D B D2 F D2 B' D L2,53
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L2 U2 L D2 B' U' F,D2 B' D' U B2 L B2 D' U',B R' D2 R' B2 U2 L' F2 U2 B,D B' F' U R2 U L2 D2 B' F' U2 R2 D,B' R B' R B R2 U2 L F L' U2 B,51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R2 D L' B' U2 F2 L,B L U' B2 U2 B' L',F2 L U2 L' F L' D' L F,R D' R2 U' R D L' D L R' B2 U R,B' R B' R B R2 U2 L F L' U2 B,48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L2 B U' L2 F R',L' R2 D' F2 D L D R2,D B2 R' D' B2 R B' R2 D R D',R' U2 B' U2 R B R2 F2 R' F' D R' B' D',,39
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F2 D B' U' L F',R B F D U2 B' U2 R' D2,L U' L2 U F2 U' F2 D L,B D' R D2 F2 D2 R' D B' R' U L2 U' R,R2 B2 U' L2 U B U F D2 F U' B D,51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R U' B' D R F',L B' F2 D2 B' R F2 U2,B' R2 B2 D R2 D' R B2 R2 B,B' R B U' L2 B' U R D B R2 D' B D,U' L2 F2 L2 F U2 F2 L2 F U2 F2 U2 L2 F U',53
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U2 B' R U L,U2 R F' U' R D' F2 U R',B' R2 B' F2 U2 F R U' R' B2 U2 F,R' D2 B U2 B' L2 B D2 L2 F L2 U2 R',D2 R' B D' R D' R D' U' L' B2 L U B' D R',55
