scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F' R L' B' L' F2 B R2 U F2 D B' F2 D' B D' U2 F' R' D',x2,U' F' R' B' L' U2,R F D' B D B' L R' D',U L' D' F D F' L2 D' U' F' D2,B2 L' B L2 R2 F' R U2 L' R,F D2 F U F' D2 F U' F2,45
U R2 L' B U2 L2 U F2 D B2 U L U2 R' D2 L F' U' D2 F2 U',x2,L D' F2 U',F U' F' U L',D2 B2 F D2 R' U R2 D2 R' B2 L F',F' D' U L2 D U' F',F D2 F U F' D2 F U' F2,37
D F R L2 D' B' R2 L2 F' R' D B' L2 B' R L2 B2 U2 L' B',x2,D R' B F U,D U' B F' D2 B' F2 U F',B' F2 D' B' F2 L2 B F2 D B F2,B2 D R' U R' U' F' U' F R2 D' B2,D B D' F' D B' D' F,45
B2 R F' R U F' D' U2 B' D2 L U D F L R F2 R2 L' U F' B2 U L' B',x2,B2 L2 B2 F',F2 U' L' D2 L F2 U L,B L B2 L D2 B' D2 L' B2 L' B',U2 L B2 L2 R2 D' L R' B D2 R' U2,B' L D2 L' B L B' D2 B L',45
B' R2 D' L2 U F R' F B' U2 R' B' U' R' F' U2 L U F' B2 D2 L,x2,F2 U2 F U B',B L2 U B D' U' L2 B',U' L2 B' D' B L2 D L' U B,L' F L' F L2 F D2 B D2 B2 L' B F',L2 B2 L F2 L' B2 L F2 L,45
U B D B' U' R' D2 R' F U D2 R B F D2 R2 L' U2 B2 U2 F2 B D' L2,x2,D' B D' F2 U',D' L' U L' D' U' L2,U2 L' D2 L2 D' B L' R' B2 R B U2,L U2 R' F' L2 R2 B L B2 R',R2 D B2 U' B D B2 U B2 D' B R2 D',47
L2 D F' L' F' L2 F' U' D F2 R' L B2 F' L' R2 F B2 R' L U L2,x2,D B L B2 U2,B2 D B' D B D2 B2 L2,U' F2 U B F' U' F2 D R2 F D' U B',D B D2 R2 F2 R2 D2 B2 L2 B D',F' D B D' F D B' D',45
L D' F B' R' B' L F' D R U R U L' F2 B2 R B2 F L' F2,x2,R D' L F2 U2,F2 L2 B D2 F' D B',U2 B2 F2 R U R U' B2 D' F2 U L2 U,D B D' B' R F2 L U L U' F2 R' D',R' B' R F' R' B R F,46
L2 R2 U2 R' F U2 B2 R' D2 U' L' B2 D' F U' D F B2 R D2 L2,x2,B U L' D B2 F2,R F2 L F2 R' D L,U2 L2 B U2 B R B' R D' F D' R2,L2 R' F' L R' D R' B' L2 R2 F' L' R U2,R2 U' R D2 R' U R D2 R,48
B R' B R F' R2 F' D' F' L2 D' R D2 B2 F2 U' F' U2 F D B' R2 U R2 U,x2,L' B L' B2 L2 U,B R F' D R' D' B' L2,D2 B' F2 R F' U' R' U' F' U B D2,L' D' L F' R2 B U' R D2 B' L2 D' R D',L' F2 L' B2 L F2 L' B2 L2,49
R2 F' R2 B2 L' D' R' B2 F2 R2 B R F L' U2 F' B2 R F2 D B F U' L2 U2,x2,U' B L2 F U' B',D' F D2 L F D2 L' F',F2 D' U R' D' L2 R D' L2 D2 U' F2,L2 D U L B2 D2 B2 L D' U',F' D B D' F D B' D',44
D L' F' D' L B2 L' B' U D B2 F R2 B2 D' U2 R' F' L' F' L U,x2,D2 B' D' U R B',D L F L' F' D L2,U2 L' F L B' U' L' U B F' U2,U L D L2 D L D2 L' B D2 B' U',B' L D2 L' B L B' D2 B L',46
R U' R2 B2 U' F' B' L' U B L' R2 U2 B2 L2 D F' L' R' U' D F',x2,L2 F L' F U',L D' F2 D F2 D L' D',R B2 U F L2 U2 L F' L U' B2 R',U2 B' R D R' D2 U B' D B D U,R' B' R F' R' B R F,45
U D B2 U2 B' U' F D2 F' U B' U2 R2 B' R2 D' L U' F U' L',x2,U L2 B' D' B2,D' F L F D' F2 L D',B2 D' U L' B' U' L2 D L' B2,F L U F L2 R2 B2 L2 R2 F U' L' F',,36
R2 L2 F R2 B' L2 B2 L' B' L' R D' B' F2 D2 U' L2 B F2 R2 F' L2 U' B2,x2,B' F' U R F2,F L' U L2 U' F' D L',U F' D L2 F D' F L F2 L F L U',D U L U' L' F2 D' L' D L F2 D',R' D2 R' U' R D2 R' U R2,47
U' D' L U D' L2 B' U' R2 L' F' L R2 D' R2 D2 U2 B2 F U2 D R2 B2 D2 R2,x2,U' L F U2,L2 D' L D2 F' D F L2,F2 L' B L F L' B2 L2 F L B L2,B D L' R2 D2 R2 U2 B L2 U2 L B' D,R' B R' F2 R B' R' F2 R2,46
D F R2 F' L U R2 L B D2 R' B' D2 B F2 D F U L R2 U2 F2 U' L' R',x2,F D' L R2 B2 U',B L R F L' R' D B',R B2 L' B' F2 R U R' B F2 L B2 R',D' L' F' D' R2 U2 L2 R' U F U R' F,B2 L2 B' R2 B L2 B' R2 B',49
U R B2 F' U' R2 D2 F' U' B L2 B U F' L D F' L' B L2 F D,x2,U' R' B' L B2 U2,D' L' B D' B2 L B,F2 D' R2 F' U2 B2 F U R2 B D F2,L B R2 U R U R' U' F R2 B' L D' L2,D B D' F' D B' D' F,47
F R L2 D U L2 D' B D' B' L' B2 U2 B F2 D' L' B' F U,x2,R' D U' L B' F2 R2,U' L2 U' B D2 B D U2 B2,F' D B L F D R D' L' F' R' B',F2 D' B F D' B' L F U L' U' F' D F,F L F' R F L' F' R',50
