scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U L2 F D R' U',L2 D' R2 B R D U' B',F L2 D' L U B2 L' D L' U' F',L F2 D2 B R B' D2 F L' F,D' U' B' D2 L2 D2 B' D U B2,45
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 L' F2 D R2 B,B' L U2 B U L U2 B2 U,D' B R2 D' F D R2 B D2 F2 D' U2,R2 D' L' D B D L D2 L' D' B' R2,D' U' B' D2 L2 D2 B' D U B2,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D L2 F L2 F2 L' D,D2 R F2 D' L2 F L' D',L2 F L D B' R2 B F' R' D' U2,B' U' B U' L' U' L U2 L' U' L2,,37
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 L' D2 B' D R,B U2 L' U2 B' U L B',U' F' D2 R D' U F U' R' D' U,F2 R' D' F L F' L' D' L D2 R F2,D' U' B' D2 L2 D2 B' D U B2,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L F' R' F2 D U,R B2 R' B U L2 B,F2 D' U2 B U' B2 L2 D' B' D2 U',B2 L2 B R F' D2 F R' B2 L B',U2 B F' L' F L B' F U' F' U',46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R2 B' L2 U R',D' R2 B R2 F' U' B' F D,B L' D' R D B' L B' U B2 U',B R2 F' D F L D L' D' R2 B',,36
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U2 F2 L2 U' L D,L' U L D2 U' R F D2,L D F D F D' F D' U2 B2 U2,U2 B U L B2 L' U2 L B2 L' U B' U2,D' U' B D2 L2 D2 B D U B2,48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U L2 U B' R' F,B2 U B' U2 B2 L B,L F' D' L2 D' R2 U2 B' R' D2 L' U2,U' B' U B L2 D F U2 F' D' U2 L U2,D2 B F' R' F' R B' F D' F D',49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R F2 D' L2 B' D R,B' L' U B L2 B U' B',D' R' B U R U' F' U F D B',F' D' B D' R' D' R2 F' R' F2 D2 B' D,,39
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' B D2 U' R2 F,D L2 U2 B L' B' D' L U2,U2 L' U B' L2 B L2 B U,F' D' U2 B' R D' B2 D R' B D U2 F L2,B2 F2 U' R B' U R' B2 F2 L D' B L' D,52
