scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' R D' B2 D',U2 R2 B R' F U' B' F R',B' U F2 R' U2 R U2 F2 R U' B,D' F L2 D2 F U' F' D2 U L2 F' D,L2 F' D' U L2 D U' F' L2,46
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F D' L2 B2 U2 L',L B L' B U2 B2 U L',B R F2 D U F U' F' D' F2 R' B',R2 U2 L2 U' L' U L' B L B' L' U2 R2,L2 F' D' U L2 D U' F' L2,48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F R' D' F' U' F,U' B2 R' D2 B2 L U F D2,R F U L F2 L' U' F' R' F',R2 U2 L2 U' L' U L' B L B' L' U2 R2,L B2 R2 U F2 R2 B2 D L,47
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L2 F R2 F L' U2,L' B' D' L' R2 U' R B' F2 D',B R' D' R D U' B R B' U B' F,D B F' L D' L' D' F' D B' F2 D',L' R B' U' B L R' U' F U,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B U F2 L' R,B2 F R' B' L' B' U L F2,F' D L F' L' F D2 L2 F L D,F U L U' F R F' U2 L' U2 F R' F2,R' U' F' U L' R B' U B L,49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L D' L B' R B2 U,R D' F' L R' D U B,B' D2 F' U2 F' D2 B2 U2 B',B R2 F2 U F' U' F' L R2 D L' B',F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B D2 B' D' B,R' U2 F D' U2 F R D U',B2 R B R U R' U F2 U' F U' B,F2 R U' L2 F2 U F' U' F' L2 U R' F2,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B U F' D' R F',L F' L U' F2 D' B' R B,F D B D B' D2,B D B' D' F' D B F L' F L F' D' B',L2 F' D' U L2 D U' F' L2,44
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L' D2 B U R F2,L2 F2 R' D B R F2 L2,D F2 R F' R' F' D' L2 F L2,U2 R2 F' L' R2 U2 L' U2 B L2 U2 L B' L,F L B D2 F' D' F' D F2 D2 B' F' L',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 U' F D2 B D R,R U' L' B F2 R' U' L2 D2,B D' F2 D' F2 L D L' F' D B',U F2 D2 L B' U' F' U B F L' D2 F2 U',F' L B F D2 F2 D' F D F D2 B' L',54
