scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' L B' L F',F2 U' F2 R U' R2 D U2,R' F' R B' F2 R2 D' R2 F' D' B R,B2 U2 R F2 R' U2 B2 L D2 L',F U2 L F2 R' D R F2 L2 U L U F',48
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L' D' U2 B2 L R2 U,F' L2 B F' R D2 B' F2,L B2 F' R' D B D' B2 F L' D,R' D' F D L2 B D B' D' L2 F' R,B D' B R' F' U B F U B' R U' B2 D,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L R D' U' L' U2,D2 F2 D2 F2 D F2,U2 B2 F L' B2 F' D U2,B L' R2 B2 R F' R' B2 F L R2 B',U R B2 L R' U L F2 R' D R F2 L2,45
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R2 D B' R2 U,F L B F D F2 D2 B' L',D' L' B U F U' R' B' L D,D2 F2 D' L F2 D2 F2 L' F' D' F D2 F2 D,D F D' F2 U L2 U' L2 F D' L2 D L2,51
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D L D2 R2 F2,L2 D' L2 B L' F' L B',D' U B' L2 R F L2 R' D B U',F2 D' R2 U2 L' U2 L F' L F L' R2 D F2,L2 B' L B' L' B2 D2 F' R' F D2 L2,50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' B' U2 L' D' R B',L2 D L2 U' F R' U F,U2 R D R B F2 U B L' B2 F2 R2 U2,B U R' D R D U' B' L2 U' F U L2 D2,R' B' U' F D' B2 D' F' U' F' L2 F U2 R',56
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B R2 D' F U2,F L F2 L' F2 D F,B' F D2 B2 F' R B' F D' F' R2,L2 D' U' F D2 L2 R' B L2 R D' F' U L2,L' B' R B L' B2 L2 B' R' B U' L2 B2 L2 U,52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' F' L' R2 F',R B D2 U' R B' F L2 F2,U2 B' D' L2 D L B' L B2 D U2,L2 U L' D2 U' B D R' D' B' D2 U L U' L2,D F D' F2 U L2 U' L2 F D' L2 D L2,53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B2 F D' B2,F R F L2 R' D' L2 D',L' F' D2 L2 F2 R B2 F' L' B U2 B,L' D2 L B' U B2 R B2 U' B' U R2 U' B2,U2 F' U' F R' F L' D L F' R U2 B' U B,53
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F D2 L R2 B' L,R2 D2 B U2 R' U B' D R,D2 L' F2 R' U' R2 U2 F' U' F' L,U' R2 D U R' B D2 F R2 F' D2 B' R' D',L' B' R B L' B2 L2 B' R' B U' L2 B2 L2 U,55
