scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B' R D' L' D' U',D2 L' B2 L B' L2 D2 L2,U2 B' L F' L' F2 R2 U' B2 F' L2 B',L R' D' L' B2 L U' B2 D R B2 L B2,F U2 B2 L' D2 B2 U2 R' F,48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R D' L U2 L2 B' F2,D B D2 L2 D L2 D B2 D',B' U F U2 B2 F2 L2 D2 B' L' F,U F R' B' R B2 L' B L B2 F' U',D' L' R F2 L R' D',46
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D2 F' U B2 R',F2 L' B D2 L B2 F2 D' B,D' L2 R' D2 F L' B2 R F2 L' D',U' L' B F D' R' F' R F D B' F' L U,D' L' R F2 L R' D',46
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' B' F R' D,D B D R2 U R2 B D2,L' B2 F D R2 D' R2 D' B2 F' L,L F' L' R2 B F' D F D' B' R2 F,L' D' L D' B R F L D L' D F' R' B',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D2 F U L D2 F2,R2 U2 B2 D2 B2 R U' R,F' D2 U' L D2 R2 U' R2 U F,B2 F' U' L' U F R' U L U R B2 L',D L' R F2 L R' D,44
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B2 D R U L2,D2 L' B' L R2 U R2 B2 D2,B R U B2 U' L B' L' B R' B',R2 U R2 B2 L B2 R' U' B U' L' B' R,L' F' L B F D2 F2 D' F D F D2 B',51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' F' U2 B U' L,U L2 B U2 B D' B2 L2 U',D L F U' F U' F2 L' D',B2 F L F2 D2 B R B F2 U2 F R F2,L' F' L B F D2 F2 D' F D F D2 B',50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U L' F2 U' B L',L' D2 B2 D2 B D B' L,D L' B' R B' R' B2 L2 U' L' D',B U' B2 U2 F' D B2 D' F' D2 F2 U' B',L' F' L B F D2 F2 D' F D F D2 B',51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F D' L U' R' U',B2 L B2 L D' L B' D L,D' U' R U B' L' B L U' B2 R' D,B L' U2 L B L B' U2 B' L U2 L U2 L',L' D' L D' B R F L D L' D F' R' B',55
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' B2 D B R2 U',B D F U2 L' U' B' U' L F',B2 L' F2 L B' L' D B R2 B2 F2 L,D' R' B2 U2 B L B2 R' F' U' R2 B2 L' D2 B,B F' D' F' D B' F L' F L,53
