scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' B' D2 U' R D2,U' B U2 B2 R' B' R2 B2,U2 L B R B U' B' R' B' L' U2,R2 U2 F' U' B' U F R2 U R2 U' B U2 R2,F2 R' D2 U L' B' L2 B D2 U' F R,51
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 B' R2 D' L' F',B2 R2 B2 D U B D' U',U' F' U2 F L U F2 U' L',D B U2 B2 U2 B' R U B2 U' B2 R' D' U,B D' B F' R2 B' F D' B',46
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 B F2 L' F' D',B' D' U2 R' D B R',B L' R' D2 L' F2 R F' L2 B',R U' R2 F R F' R D U2 L U' L' D' R',D R' D U' B2 D' U R' D',46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R2 D2 U B' U' F',B2 R2 U2 B U2 B2 U R,L U' L F L' U' L F L2,R2 F' L F L' D' L' D' L' D2 R F2 R,F L' B' F U2 B F' L' F',45
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B R2 B' R2 D F2,R2 B' U R' B' R' B2,U B L F' R U' R' F' U L' B',L' U' B U L' R2 D' F D F2 L D L R2,D R D U' B2 D' U R D',47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' F R D' B R F,R2 U' L' B' D2 B L R',L2 B2 D F D' F' R' D2 R B2 L2,U L2 D2 R' F2 L R D' L R2 U2 R' B2 R',D R D U' B2 D' U R D',49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L R D B' U F2,L U2 R' F' L' R' U,F' U F U R B U2 B' R' U',D2 L R B' L' B D2 R F2 R' D2 L' R' D2,R' F' R B F U2 F2 U' F U F U2 B',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D L' F L2 D B,L R U R2 F R' F L',U B' U' F' U2 F L F L' B,L R' F' R B R' F2 R F' L F L' B' L',R' F' R B F U2 F2 U' F U F U2 B',51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R' B' D' L' D',B2 R' B' U' B' U2 R2 U,U L F' L' D2 L U2 L' D2,R2 F D2 F2 L F2 D2 U2 B' U' B U2 F' U R2,D R' D U' B2 D' U R' D',46
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U B' L' B U L2,U2 R2 B' R U' B U2,F2 D' F L2 U L2 F' D F2,U' B' D' R B' R' D L2 U F U F' L2 B U,B D' B F' R2 B' F D' B',46
