scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' F L' U' R B',L2 F' L2 F L2 U' R' U,F2 U L' B2 F' D' B2 F L U' F2,R D2 L2 F2 L F L' F2 L2 D2 R' B,R B L' B' L R' U L U' L',47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' L2 R2 U2 F2,B' D' F2 R2 F U2 R2 D B,B' U2 L U B U' L' F2 D' F2 U2,R D2 R' B' L B' L R2 F' L2 R2 B',L2 U' B F' L2 B' F U' L2,46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B F' U',U L U R B' U2 B,R' D' L2 F U2 F' U2 L2 B D R,D2 L2 D R2 D' L2 D R2 D,L R' U L' U' L' R B L B',41
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F' D2 L F2 R2 B,D B' F' D' R' B' R U B U',F2 U' B2 F' R B2 U2 L U2 F U F2,D2 F L2 U' F U' F' U L2 U F' D2,R B L' B' L R' U L U' L',50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B2 D L U' B' U,D2 B U L' B2 U L2 D2 F' R2,L2 U2 L2 B L B2 U' F R' B F' L',B' L R' U R B U B' U' L' B,L R' U L' U' L' R B L B',49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F' L' D2 F' U' L2,B' R D' U F R U' R2 D B,L R U L F' U2 F L' U' L' R',B D B D2 L2 B' D' B L2 R D R' B2,F' U' F R B L U L' B' R',50
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D' R F' R,U' L2 R' D B U B' D' U,F2 D F2 D' B' U B2 D B2 U' B,L F R F' U2 B' R2 B R B' R2 B L',R B L' B' L R' U L U' L',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R2 F' D' R' B,R2 D2 L U' R' U2 L' D2 R2,L' F' U2 R' F2 R2 F' R' U2 F,L B2 D B' L2 B' D2 F' D' F D2 L',U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 D' L F R' B' U,R2 D2 R' D B U B D L' R2,U' L B' U F R2 U' R2 B U F' L',B D L' D' L B2 D' B D B L' D L D',L' D2 R2 F' U2 R2 D2 B' L',52
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B2 L' R2 F' L2,U' L' D' U2 L2 B D U' F2,F' D L2 D L D' L D' F,F L2 F' L2 B U' L2 F L2 F' U L2 B' L2,U' L U2 L2 D' U' B' U B D L2 U' L',50
