scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L R U B' L D',B F' R U' B' F2 R D',U' F U2 L2 D2 L2 U' B U' F' U B',F2 L' D2 F' L U L2 F D2 L F' U',U B D B' U' B D' B',46
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' U2 L' D' R B',B R U B2 D' B R2 F' D,F' D' R D L2 F' D' F2 R' D F L2,F2 U2 L' F2 L' U L U' F2 L U2 F2,B D B' U B D' B' U',47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B2 D' F L U F,F' D B F2 R B2 L2 B D2,R2 B2 L' U2 L B2 R2,R' B2 D2 L' F' L F U L D2 U' B2 R,L2 F D' R2 D F' L2 F D' R2 D F',47
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U F' R2 D2 L' D L',D2 F R' B U' F2 U2 B' D2,F2 R' F2 D2 F2 R F' R F R' D2,L U L' B2 D2 R B2 L' U2 F2 L2 U L',D F' L2 F D' F' D L2 D' F,50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L2 U' L' D2 R',B F U R' U2 R' B' F',L' B2 D' L F2 L' D B2 L,D2 R B F2 U L' F2 L U' B' F2 R' D2,L' D' L U L' D L U',43
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F2 L' R2 B D2 R,B U' R F' U' B' D' F,B D' B' D2 F' D2 U' B D B' U,D2 B U2 F L' F L D F D' F2 U2 B' D2,U L' D' L U' L' D L,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U2 L D U L',F2 D' B2 F2 L U2 B2,F2 D2 F D2 L' F' D' F D F L,L2 B' R' B L2 B2 F' L D L' B F R B,B L2 B R B' L2 B R' B2,46
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D L2 D L R2 B',D2 B F2 U R2 F U B',D2 R' F2 R' D R D F2 D R D2 F2,U' B2 D' U F' D' F' L' F L D2 U' B2 U,D U L2 U' F2 D2 B D' F D' F D' B',53
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U B2 U' L' F',L2 U B L B2 L U',U' B2 F2 U R2 U' R2 B2 F2 U,L' U' L2 U2 F2 U2 L B D L B R2 B2 L F',U' L2 U' R' U L2 U' R U2,46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B2 L2 B2 U R2,U' L F R B2 F' L' U,D F' D B F2 L' F' L B' D' F' D',B2 D2 R' B F' U2 B2 D' L D L B' F' L U2,F2 D2 F' U2 F D2 F' U2 F',49
