scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U' B R F' R,L2 B D' L2 R2 U R2 B' L2 B,R2 B R B' U L U' R2 U2 L' B U2,U R2 U R B R U2 R' U' B' U2,L F' D F L B R D' R' B' L2,49
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' U2 L F2 R',R' D2 U' B R U2 L' F2 U',R2 D' B2 U2 R' D R' B' R2 U2 B2 D,L D' F2 D2 R D' U F' U2 R2 U L',F' D' F D B R2 F' R' F' R F2 R2 B',51
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U' R' F R2 D2,D R' D B F2 U B D2 L2 D,D R B2 D B' L' U' B2 U' B U2 L D2,R D' B2 U2 F2 L B' U' B L F2 U2 B2 D,L D' L B R F D F' R' B' L2,53
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' D' B' R,D' R D R D2 R D2 R2,L2 D2 L D B D L B R2 U' R2 B',D2 R B R B2 D B R2 D2 F' D' R2 D F,,38
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U' B L F' D2 L2,L U2 B' R U2 B D F' U B2,B2 L' D L B2 U L R F' U L' R,D' R' D2 B R' B' F D F' D2 R D,L2 B F' D' F D B' F L' F' L',51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B' D2 U' L U' B',D L D' F2 D' R2 D F2 L',L B2 R2 U' R2 B' U B' L' B' R',B2 U2 F L B L' F2 D2 B R2 F' R' D2 F',L F' D F L B R D' R' B' L2,51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F2 R' D L2 B',D' F' R B2 F' L' R2 D' U2 R',D2 B L2 B' U L F2 L2 F2 D U F' D,B F' U' R U' R U R2 F2 D' F' D B' R,L F' D F L B R D' R' B' L2,53
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L F' U' L U2 B',F' R2 U' F' R B' D F2 L' R,B' R2 D' U' R D L' B L R2 B R',B' L2 B' D2 B R' F D F2 R2 F D L2 B,L F' D F L B R D' R' B' L2,53
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B' D2 L F2 R B,D2 L B' D B U' L F' U,F' R' D' F D R' U' F R' D2 B' D2 R,R' D' R2 B' D' F L2 B2 F' D R2 D' B' R2 D2,D2 B F' R D2 R' B' F D L2 D,54
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R F2 R B D',L2 F L B F R B R U F2,L2 U L F2 L D B2 D L2 F L2 R B,F2 D' B U2 F L F R' F2 L' R B' D R' F2,L D' L B R F D F' R' B' L2,54
