scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 U' L2 D2 B L2,D' L' B D U' F D R D',U2 L' U' B' U2 B U2 L2 U' L,R D L F' L' F D' L2 U L' U' L2 R',B D2 B' R U2 R' B D2 B' R U2 R',50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U' B' F2 R' F2 D,L2 F L2 U L2 F2 L2 U,L2 B2 R B' D2 F L' D2 B2 R' B,B2 U' R' U R U2 B2 L' B' L B' U2 B2,U' F L' F' L2 D2 R' B' R D2 L' U,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R' D' L2 F' D B,U2 R' B F D' U B' R' F R,U L B2 D' R2 F D R2 B2 L,L' R F D' R2 D F' L U' B2 U R',U' L' U' L U2 L2 D' U' B' U B D L2,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U R' B2 U2 B,B2 L B R' F' R2 D' B F L,B' F U B2 D' F2 D' B' F' L2 F2,B' F2 U R2 U' R B2 L' D L B2 R B F2,U' L' U' L U2 L2 D' U' B' U B D L2,53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L2 D L R' D' B U',U' L' D L2 D B R U B2 F',L' B L2 B F2 D B' F2 L2 B',L' R F' L' F L F' L F U L' U' R',F L B2 F R' B' F' R2 B' L' F D2 F2,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R' B D2 B L2,B L U' B' L R F L2,D F L2 B U F' U' B' L2 D' L,D F' D' R U F' L F U' R',D' L' B' L' B2 D2 F' R' F D2 B' L2 D,47
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B U F' R,B F2 U L2 U' B' L F2,L' B L2 B F2 D B' F2 L2 B',L2 B' F' U2 F U' F' R' F' R U' B F L2,F L2 D' B2 U' B' D F' D2 B' D' F' D' F,50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' L2 F U2 R,L' U R D F2 U' B' D' F2 L,R B D2 F2 R U' R' D' F' D' B' R',F' U2 F L U L2 U' L2 F' L' U2 F,B D B2 U' B2 F' D F2 L2 F' D' L' D' B' L' U,55
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' F U B F D',F2 D2 R' F L2 B' R' D B2,L' D' B2 R' U2 F R B U' B D,L F D2 R' D R B R' B2 U2 B D F' L,B D B2 U' B2 F' D F2 L2 F' D' L' D' B' L' U,56
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R D' B L',B2 L D' R B F' D' B L' F2,L' F' L B' F U2 B L2,D' B' L U B D F L2 F2 L' F2 L2 F' L',D' F2 U2 F D' L2 D F' U2 B' F2 L' U2 L B D,52
