scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,D B2 L B' F L',F2 D' R D' R' F2 D2 F2 D',D B' F L2 D2 B F' D R',B' R' D' R D B2 R U R' U' B',B L' F L B' L' F' L,43
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B D B L2 F L',U F R' D2 R F U' R2 D',U F' U' F R2 B U2 R B',U R2 F R' F R2 U F2 U' R2 F2 R U',B' U' B D2 B' U B D2,45
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F' U2 R' B L',R' D' B R2 B2 D B,B D' F' R U2 R F R2 D R' B',D' R2 B2 D R' D' R B2 R2 D,B' L F2 L' B L F2 L',41
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L2 R' B' F2 L2,D U2 R' U2 L F L' F',R' U2 B2 F' U2 B2 F U2,U R2 U' B' R2 D' R2 D2 B' D' B2 R,B' L2 B D2 F' D B D2 F D2 B' D L2,46
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R2 U' F2 D' B' U2,D F2 D' R2 D2 U' R2 U,F' U' F R2 U2 B2 U B2 U2,B2 R' B2 R2 B' R' B R D B D' R2,D2 B' U' B D2 B' U B,43
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D R F' L2 F',B U F L' U L U' B' D2,B2 D2 F2 L2 F U F D2 B2,B' R' U2 B' U2 B' U2 B2 U2 B' R B,B' L' B2 L' F L B2 L' F' L2 B,46
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,D' U2 L D' B' F,F' U' F' D2 R D' R2 D2 U,B' F2 D L' D' F2 D B D' R,U R F D2 R' B R' B' R D2 F' U' R',L B' R2 B L' B' R2 B,46
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' D' L U' B' L',D2 R' D R D',B R2 B' R2 B R2 B' R,F2 D F2 L' R' B R B' L R F2 D' F2,L' F L B L' F' L B',40
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R' U B2 U B',R2 D' B' F' L2 D B' U2 B2,B R F' U F U R U' B',U F D2 F R D R' F2 U F D2 F' U2,U R2 U' L U R2 U' L',44
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,R' B' L U' B' U2,R2 F2 R F D' R F R D',D' F2 U F U R U2 F D R',B2 D U' B2 U2 L2 B U2 B' L2 D' U' R,D2 R B' U2 B R' D2 R B' U2 B R',50
