scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F2 D' B F',D2 R2 U' F' R' D R' D,U B2 U' B2 U B U2 R' F R B L',L' D F D U' R' D U2 B D U',U2 B2 D2 R D2 B2 U2 L,43
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D L2 R2 B R F2,U' L2 B2 U' B2 L2 U L',D2 R F2 U B D' L2 U R' D' L' U2,F L' B2 D U' L2 F R D' U F2,B D U' L' F' L D' U B' L,47
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D' L' B2 F' D2 U2,U' R D2 B2 R2 F' U' L R,B L B' D2 B' R' D2 L F U F2 U,L D2 U2 R' D R2 B' D U' L B2 U',D' F L R' D2 L' R F D,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B D2 L2 F2 R' F,B' L2 D L F U F' L D',R B' D' F2 U F' L' F' L B' R' B2,U B' U' B F' L B L' B' F,B D U' L' F' L D' U B' L,47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U' F' R2 F2 L' U',U' B U' B2 L' U2 L' B',D' F2 D2 B' L F U' L' B2 R2 B' D',F L D' U B' L' F2 D U' R2,U2 B2 D2 R D2 B2 U2 L,44
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L2 B2 D' L' U F2,L B2 R D L B U' R' F,R U' B' F2 D R F2 R B R2 F U,L U L' D' L B U' L' D F L' F',U2 B2 D2 R D2 B2 U2 L,47
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B R2 B2 D' B D',F' R' D U2 F' R U B U,D L F2 L' F2 R D2 B2 L B2 L' D,U L U2 L' F' R' F' L R U F,L' F2 L D' U B' L2 B D U',48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 L B' U F D',B D F2 U' L2 U2 L' D' B2,D' B' L2 U L' U B D L2 F' L F',F L U' F D U' R' D' U2 L' F',,38
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,U F R2 F,L' B D' B2 D2 L' D' R' U' R,L' U L B' L2 B' U' B' U L2 B,R2 F2 U' L F D' U L' B' D F2 R2,B D2 F2 D' F D F D2 B' L' F' L F,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U2 B R' U2 R D',F' U2 B D' L' B2 L2 R' D,R F2 D' L' D' L2 U B2 D2 F' U',L' D2 R U2 B2 D2 L U2 F2 L,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,50
