scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B2 D' F L D',B U' L' B' U L' F L R,B' R2 D R D' R U F2 U' B,F' R2 D L2 R2 F2 L2 D F2 U L2 D' F',B' D F D' B D F' D',45
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R U L' D' U' B,L' B' R2 U' B F' U2 L,B' D' B2 U2 L' U2 B2 D2 R D' B,B U R2 U' R2 B' L' D U' B' D' U L,R' B2 R' F2 R B2 R' F2 R2,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L' B' F' R D B',B2 F2 D B' D' L D B' U',F' R U2 L2 R' D2 R' D' R D' L2 F,B2 L R' D' F2 R F2 R' D L' R B2,F2 R2 F' L2 F R2 F' L2 F',48
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R' U' B' D' L' F',L2 B' R2 B U L F' L,F2 U F R' F' R F U2 F2 U' F',F2 L' F2 D' F2 L F2 L' D L,F2 R2 F' L2 F R2 F' L2 F',44
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L2 D L U2 R,U' F L B D' L B' L2 F,R B' F2 D R' D' B U F2 R' F',R2 F' D B' U2 B' D' F D2 F2 L2 F2 D2,B' D F D' B D F' D',46
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B2 L' U' B L' U,D F' R F2 R2 D' F' R U2,R' U2 F' L D2 F D' F' D2 L' U2 R,B2 F' R B R' B D2 U B' U' B D2 F,B R' B L2 B' R B L2 B2,49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B2 L' D B2 F D2,F2 U' B2 D B2 D' F D U',R2 F R2 U R2 F' R2,D2 B2 F' L' R2 B' L B2 R2 B F D2 B,R F' D2 F R' F' R D2 R' F,45
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 D' F' R2,L D U2 B' U B D' U L',F2 R' U2 R U' F2 D R' D',D B2 R U B' U' R' U' B' U2 B U' B2 D',L2 D F D' F2 U L2 U' L2 F D' L2 D,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U' R D2 B' R,B2 L D' F L B2 U' F2 R2 F',F' L2 B F2 U F2 U' B' L2 F,B' U2 L' R B' L U2 B U' R2 U R2 U2 R',R2 F2 R B2 R' F2 R B2 R,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U' R' B F R D,B2 D' F L' F L' D2 L2 B2,R D2 R2 D' U2 B L2 B U B2 R F,B2 R F' L' B' L D B U B' D' U' F R' B2,B R F' R' B' R F R',50
