scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,R' F' D2 U B2,U' B D' B2 U B2 D B',F' L U B' F L' B' L R' B,F2 U2 B' U2 R2 F R2 F2 U' B U L' F' L,F2 U L2 B2 R2 D B2 L2,45
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F D U2 R' D,L' U2 L' B' U2 B2 L B' U2,U R B L' R U' B' L' U L R' B',B D2 B' L R U B2 L' U B2 U' B2 U' R',B F' L' U2 L B' F U' R2 U,50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F R F2 D' B',F U B' R U' F' U B,F' D U' R' U2 B' D U B2 U2 L' D2,R2 D' B' D' R' B2 D' R B D R2 D2 R,F' R D' U F2 D U' R F,47
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U2 B' D' U L' B2 D',B' U R2 U' R B2 D' B' U,R B2 F2 R B D U2 B F' L U' R2,F2 L' B2 L2 U L U' L B2 R' F L R F2,F2 R F' R' F' R2 B U F U' B' F' R2,55
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 B' L D R,L F U' L2 B D2 B' L,B' F D L R' F' D2 U2 R D U' B',R2 F L' B2 F L2 F D2 L D2 L' B2 L F,F2 U L2 B2 R2 D B2 L2,47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B2 R' B2 U' R2 B,L B' F2 U2 R U R B L',F' U' F L D B D2 U' F' D U2 L',L2 B F L' U' F' L D F' D B' R' F2 L F',U' R2 U B F' L' U2 L B' F,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L B2 D' L2 D2,B' U' B L2 U L2 U2,L2 D' L' D2 U2 R' F2 R2 D' L2 F2,U L' D L F' L' U R F2 D2 L B2 L D F',F2 R F' R' F' R2 B U F U' B' F' R2,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' D F' U2 B2,U2 B' R B' D2 R D R2 B2,B' L D' U B2 L D U' F' L B,L' D2 B R' B' D2 F' L' F2 L2 U' B D' B' U,F U' R' U B F' L' U L B',50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B2 L' B2 D B' F,R' B' D R' U2 B D R' D',L D2 U2 R2 B' U L D' U B' D' F L,U' B' F2 U B' F2 D' B R2 F' U B U2 F U,B F' U F U' B' F R F' R',53
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F D2 R' D L2 R',R' B2 L B R2 B F2 U2 L',F U' B' R2 D' L' U' F2 D2 R' B' F' R',R2 D' L B' L' F2 U2 L U L' U B F2 D R2,F U' R' U B F' L' U L B',53
