scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' D' F2 R B2 L2,U2 B' L F' R B2 L' B' U',R2 F' L' B' L' U' L U B2 U2 B' F,L' R2 U2 F R U' F R2 F' R' F2 L F R2,,41
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' D' U' L' U2,U2 F2 L2 D' U F' L2 F' U',F2 L' D' B2 U' L D U F2 U R,F D' F' R2 B2 U' F' L B' L B' F U' R2,F L F2 L' B F' D F2 D' B',49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B2 U2 L' D' R' B,F R2 D2 B' L' B R F' R,R' B2 R2 B' F' L F R' B R B' U,U B' F' L' D2 B U B' D2 F' L F2 R' B,,41
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D F' D B' D' R',R' D' L R B2 L' D2 R' D2,R2 B L F' L2 D' L' B D2 B2 F R2,R F' R' F R F2 L2 U L F' L F' R',F L' D U' F2 D' U L' F',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' L' B L' B2,D' U2 F L' F' D' U2,D B2 U' R F R F' U' R' B2 D',R2 B U2 B2 R2 F R' D2 B R2 F' U2 R',F L' D U' F2 D' U L' F',45
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R D B L2 U' L,U2 F L2 U' L2 U F' U2,R2 U' L R U' L' U R,B R' F R' D2 B F L2 D2 F' R F' R2,F L' D U' F2 D' U L' F',44
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U' F D2 R U2,F' D' B' L2 B' F' U' B2 F',B' U' B' U' F' U' B2 F2 L' D2 L F',U' B R' F R B F L2 B D B F2 R2 U,F L' D U' F2 D' U L' F',49
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F D' L2 R' B2 U2,D R2 U' L2 R2 F2 D L2,D2 U' R D R2 D B L U' B2 L' U,F' R2 B' F' L B L2 F R2 F2 D2 R' B' R F',,41
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L' B' L2 D' R B,R' B' U2 L' F' R' B2 D F2 L,F' D' U B' U2 B' U2 B2 D F U',R' B2 U R2 F D F' D U' B' R B R' B' D',F L D U' F2 D' U L F',51
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,D2 B' L2 U B',R' D2 R F2 D F2 D',B' R U' B U' B2 R' D' R' D R2 B2,L R2 B L2 U F U2 F' U' L' B2 U B L2 R2,F L F2 L' B F' D F2 D' B',49
