scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F U B D,D L2 R U L' B' L' D',L U2 F L R' D' F2 L' R F L',D' R2 D2 B' F2 D' B F2 D2 R2 D,,34
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R B D2 F,F2 D2 F' D' R D2 F' R D,U2 F U L' U R B' R' U' L U,L' D U' F' L' U2 L U F D' L F2,R2 U R2 U' B R2 D' R2 D B2 U' B U,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D L D F U F2,R' B L U' L' R' B',F R' B R' B2 D R2 D' R' B F' R,F' L2 D B2 R' U' R U B2 D' L2 F,B' D2 B' R U2 R' B D2 B' R U2 R' B2,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F L' D' U' F',R F D' R2 D' F' D2 R2,F2 L R' D F' D L' F R F' U,D2 B2 R B' R F D2 B2 D' B D' F' R2 D2,,38
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U F' U L' D' F2,D' L2 U B' R U2 L2 F' D',D' B2 F D' B F' R D2 R2 D2 B D,B2 F' U L' U L U2 F2 R' F' R B2,F D' B2 F' U B F U2 B D F' L2,51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L2 D2 F' U L' F U,D' R' F2 D R' U R U' F2,L B' D2 U' R B2 R2 U R D2 B L',D' F R F' R' F D' R' D' R D F' D,R U' R U F2 D2 L D L' D F2 R',53
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B L' R' U2,U' R' F2 U2 F2 R2 U,B U2 L B2 D L D2 L D B2 L' U2 B',L2 D L2 B D2 R' F R D B' L2 F' D',D B2 R2 D L D L F2 U2 L U' L D R2,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U F' D' R U' B,B D' F D B' F2 R F R,F2 U R U2 R' B U L' U' L B',L' U2 F' R U R' F L' D2 L U2 L' D2 L2,D B2 R2 D L D L F2 U2 L U' L D R2,54
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B D U2 B' F' L,B' D F D2 B R F' D',F R U F2 U F2 U2 R' F',D2 F' D' R2 F' D F R2 D F D F' D,B U F' U' B2 L2 B2 R' U' R U B2 L2 B F,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L2 U' B R2 F2,D2 F R D' R' F' D R' D,R2 B2 L U2 B U2 B' L' U2 B U2 R2,B2 U R' F' R U' R' F2 R B2 D2 F' D2,B U F' U' B2 L2 B2 R' U' R U B2 L2 B F,54
