scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' U' B' D2 B',L R2 D' B2 D2 R2 U' L' D F',L2 B' D2 L' D2 B' D' B' D2 L' B',F2 U' R2 F' D2 R' D R D2 F R2 U F,D2 B D U' L2 D' U B D2,48
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D B D L U,R' D R' B F2 D R B2 F2 R2,R2 U' L' D' F' L2 F D L' R2 D,F' R' F2 L2 D2 F D F' D R2 B2 L2 R' F',B2 R2 U2 L2 F U2 R2 D2 B',49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L2 F' L' U,L2 B R D' U' B' D' U B',U L2 B2 F2 R' B' F D' B' F U',L R' U2 L2 F' L2 D' L' D2 F' D' F2 R B2,F L U B F' L2 B' F U L' F',49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B D' R' D' U',B2 U' L2 R B D' L2 R' B2,B' D' L2 B2 D' R2 F' L' R2 F' D' F,U' F U R U' L' B' R B' L R2 U2 F',L' U' L U2 L2 D' U' B' U B D L2 U',52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R B' L' U F2 D',R' F' L' B2 L2 B2 D2 R U,F' L' F R' D2 U B2 D B D U' R,L' U F R' F' L2 U2 L' F R B2 U F' U',U2 L' R B' U' B L R' U' F U',52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B' U' B' F2 R2,B R2 B R' U B L F2 L B,D R F2 R U B2 L2 R' F R' F L2,F L D R' D2 L' F' D' F D2 R D' F',L2 F' D R' F D' L2 R2 U B' R U' B R2,54
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' F' R2 D B2 F',B2 F R' D' U2 B2 F' U F,L' F D' L' D' L2 F' L' D F' D L',F D2 L F D F' R D' L' D R' D F',B D L' B F' D2 B' F L' D' B',51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D B' L' F' R B2,B2 U' L2 R B D2 L D2 R',L' F2 L F' L R2 B2 U' R B R,U B' L U2 B L D F L' F2 L2 F D' U',B D L' B F' D2 B' F L' D' B',51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B' D' U' B R' F2,F D' L' U' L2 U2 F2 L2 U' F2,D2 B D2 B' D' F' D2 F L D2,F' D' F' L' R2 U' R' F' L R' F D F',B2 R2 U2 L2 F U2 R2 D2 B',48
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U2 R2 F2 U,B2 R B2 F2 L' F D F,B' U B' R' F' R' B2 F' U' L2 F2 U',L F' D' L2 D' L' D' L D2 L U' F U F,L2 U' L U L2 R2 D' L' D R2,48
