scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R2 B2 U F U,F2 L B' L' B L F' D' F',U' L' U' F' L2 F L2 U L2 U,R2 U' L B L' U R2 D2 F D' F' D',D R' B' D' B2 D R B' D' B2 D B,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F U R B L' F,D2 B' D' B F' U R' B' U' F,D2 B' U2 B2 U2 R2 B R2 B D2 F',B' U2 B R' D2 R B' U2 B R' D2 R,D' B F L U2 B2 U2 L B' F' L2 D,51
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B2 L D' F L,D F L' D' F L2 F' D' F',B' D' B2 D2 B2 D B2 L' D' L B',D2 R' F' R F' U2 B L' B' U2 F2 D2,B D' L' D L B2 D R D' R' B,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F2 L2 U' R B' L2,U B' L' D R D L U',D' B2 U L2 U' B' D F2 U' L' U,D F D2 L D L' B D' F' D B',B' U2 F2 L D2 F2 U2 R B',45
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R B2 U F' L',F' R' B2 L D2 B' R F',D2 R B D B D B2 R2 D R B2,F2 L' F' L F' D R' D R D2,F2 U L2 U B F' L' B2 F2 U2 R' B F,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D R B2 L2 U2,B' F2 R2 F2 L' B2 L2 B' R2,R2 B U' B2 D B' U B D2 R2 D R2,R' D' L D R2 F2 L U L' F2 L' R',,38
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F D L R2 F2 D F2,R2 F2 R' F D' R' D2 F,B2 U R' B R' B' U2 L2 U B2 D,L' F' U F' L2 B2 D' B R B L2 F U' L,B F' U R' U' B' F R D R',50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D B L' U2 F,D2 U2 R2 U' B2 R' D R2 B' U',U2 R2 B L D2 L' B' R F2 R U2,F' L' F L' R U' L2 R' F,U' F2 U' B2 L2 F2 D' B2 R2 U,45
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R' U F L2 F' U',F2 L2 F2 U R2 U' B,F2 D' L' D L D' R D R' B2 D F2,R F L2 F R' F' L2 F D2 L D2 L' F2,B2 L' R D' L D L R' B' L' B',49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L2 R D F D2,F' U B2 L U' L2 U' F R U,U R' U' B2 D2 B U2 F' U2 R' B R,D2 F R F2 L R2 D L' D' R2 F R' D2 F',F L D L R' B' L' B' L' R D F',53
