scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 U B2 F,R2 D' B U2 R D2 B2 U2 B D',L2 R' D2 B' F2 D B F2 D2 L2 R,B2 D' B' D B2 U2 B D' B' D U2,U L D' U B2 D U' L U',45
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 D' B R' B' F L',D' R2 F R' F' D,D' F2 L2 R2 D' L' D L' F2 R2 F2 D,L D' U2 B U' B2 D L2 B L2 B' U' L,U L' D' U B2 D U' L' U',47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U2 B L' D2 B',D2 L B U' F' U' B' L' D2,R' D2 R2 D F D' U' F U F' R' D2,D' F D B' D B F' R2 D R2 D' R2,L' F' L B F D2 F2 D' F D F D2 B',51
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D F' L2 U2 R2,B2 D' R2 U2 R D B U,F L2 R D2 R' D2 B' D B2 F' D2 B',B L' B' L U2 F2 D2 B' R B2 R' D2 F2 U2,F R' B' F D2 B F' R' F',48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F D2 F2 L' U F2,B' U' B R' F2 L' D2 F2 R',L' F U' R U F' L,L B' U' B R' U L U2 F' U F L2 R,L' F' L B F D2 F2 D' F D F D2 B',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D' R2 F' D' B2,B L' R B R' B2 L B',B R F' U' R F D2 R' D2 R2 B' D2,L' D2 R2 D L B2 D2 R' D' L2 U F2 L2,U L D' U B2 D U' L U',47
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 L U' B D2 U,B' F U B2 R' U' B' R' F',F2 D B F' R2 D R' F D' F2 U2 R2 B',U L2 R D' R D L2 D' R2 U' R D R',L' F' L B F D2 F2 D' F D F D2 B',54
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 F L' B' L',U2 B2 L' B2 D L D' U2,F U2 R B' D' B F' R F U2 F',L' D F' U F2 U' F D' L2 B' U B L',U L' D' U B2 D U' L' U',46
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U R' F' D B R2,U' R' U B' U2 B R,L' F' D' U L' D2 U B D' U2 F L,F' D2 B' R2 U2 B D2 F' L2 U2 F2,L' F' L B F D2 F2 D' F D F D2 B',49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 F2 L B' F' R2,U2 B2 D' R2 B2 D B U2,F R F2 R2 B' R U' F R' D2 U B,U2 L2 U L2 U L' D L' U L D' L,R' U' R D U B2 U2 B' U B U B2 D',51
