scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' F2 U' F2 D2,U B2 U F2 L U' B2 U',R2 D' R2 F R2 D2 R F D' R,D' R2 U F2 L D2 L' D2 U' R' D2 R',B' U2 B R' D2 R B' U2 B R' D2 R,47
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B' L2 B2 D B' L,B' D F R2 D B R F2,L F2 U' L' U F2 L U L2,D' F D2 B F' U R F2 U2 B L2 U B2 R,F D2 B D2 L D L' D B' L D2 L' F' D,51
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B F D' F,R B L U2 B' U' B L' B',F' R' F L' U' R2 U F2 R F2 L,U R F2 L' F' U' F U F L F R' U',D' R B2 F L' B' F' L2 B' R' F U2 F' D,51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B2 U' B' F' L',R B' U' R D R' U R B,R' U' B' R' B' D' B2 U F R2,U F' D' B R D R' D' F R2 F2 R2 B' U',R' D2 R B' U2 B R' D2 R B' U2 B,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 L U' B F2,L2 D2 B2 U B' D2 L2,U L2 F2 L' F2 L U L' U' L2 U',F2 D F L2 B2 U R2 B U B' R2 B2 L2,B D B' L2 F' L2 D' B' L2 B L2 D2 F D',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B2 L2 B U L,U2 R U R' D F' D' U2 R2,L' F' U' R U L R',L B2 D R2 D' R B' D2 B' L B2 R2 B2 L2,D' R B2 F L' B' F' L2 B' R' F U2 F' D,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' L R' F D L' B',U R' B2 L' B2 F' R' U',L' R2 U2 F' R F U2 R2 F L,U F D L D' F' R F L' R' D' U',B D B' L2 F' L2 D' B' L2 B L2 D2 F D',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R B U' B F2,R2 B2 L' F' D2 F2 L D' B2,L R U' R' D2 R B2 R' D2 U L',R' F2 D2 R F R' F' D' F' D' F2 R,F D2 B D2 L D L' D B' L D2 L' F' D,51
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R B L2 D' B' U',R' D' R2 B' U' B D2 U B,L2 F' R2 F2 R F2 R F L2 R,R B2 U' L' U B' D' U F2 D F R U' B',B D' F D B2 L2 B2 R D R' D' B2 L2 B F',54
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' D R' B2 F,R2 D2 U R' D U F' D U2,F2 R B2 D F D' B2 R2 F R,B R D2 R D' U R F' R' U' R' D' R' B',B D' F D B2 L2 B2 R D R' D' B2 L2 B F',53
