scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F R' B D U2,D F' R D' R2 F R,F2 R B U' R' U F R' B' D R F,U B' D' L' D' L B U R D' R' D2 U2,B U R' U' B2 D2 L' D' L D' B,48
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' B' U' L2 F,B D' L R2 D' L' R2 B',F' D F' R D2 U F L2 D L2 U',B2 F' L' R2 F' L' F L R2 D2 L D2 B2 F,B U R' U' B2 D2 L' D' L D' B,49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U F U R B' L2 U',R' B L D' L' B',B U' R B L B' R' U B',U2 B2 F' R' U' R' U R B2 R F U2,B D F' D2 B R2 B' R2 D B' D2 F D2,47
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 D' B L' B' F,D' R D2 R' D,D2 U F U' R U F' D' F2 D' U',L D' L2 U' R' F2 D' R D U L D F2 D',L2 U' R2 U L2 B' D L' D2 F2 D2 L D' B,50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B' U L' F D',L' R F' D2 R2 D2 F L,U2 F' D' B' F L F' D' F L2 B U2,R F L2 B2 R2 B U F2 U' B F2 L2 F R',L2 U' R2 U L2 B' D L' D2 F2 D2 L D' B,53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F' L2 F2 R B' U',R D2 B U F' R2 D' U' B',F R B' U B' F2 L2 F L' B U' B,L F2 D' F D' F D F D' F2 D2 F2 L',L2 D' U' F' U2 L2 D' B' D L2 U' F D L2,54
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B' L R' B2 U' R B',D2 F' D B R D' F R B',B' D2 F' D' L' F' L D B R2 F,B2 U' B2 R2 B L2 U' B' F U2 F D' F2 R2,B U R' U' B2 D2 L' D' L D' B,52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F' U R B' D' U2,D2 R2 B D' B' D R D2,U2 B' D2 U' F' D2 U B U2,L2 B L2 U2 B U' F2 R2 F2 U' B U2 B2 U2,B D F' D2 B R2 B' R2 D B' D2 F D2,50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' B' R2 B' F2 L',U' B2 L D B2 L' U,F' R F' R' F R' D2 R' D F D,U2 F D' R D R' D U2 B' D' B U2 F' U2,L2 U' R2 U L2 B' D L' D2 F2 D2 L D' B,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' L D F L',D' B F' D F D R B' D',B' D B F' R' D F R D' R',L' B2 F2 D B' D' B' F D B' D' F L,R2 B R2 D' R' F' R' U R2 U' R2 F D B' R,52
