scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D' R2 B2 L2 F' D,F L' B' F' U L2 B,L2 F L B' U L' U2 L' F' L' B,F' L2 D' L2 B2 L2 D2 B2 F2 U R2 F',B D U' L2 D' U B,44
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D R2 B D2 R' D,U L2 U' B' L' B U2 B2 U2,F U2 L' D L U' L D' L U' F',R' D R' B2 F U2 R' U' R U' L' F' D R2,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,54
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F D R' F2 U2,F L' D2 R2 F' D2 F' U2 L',B2 L2 B2 L B R D2 F L2 F' L' R',L' R2 B L' B' L2 U2 F U F' U R2,L F2 R2 D' R2 F2 L2 U' L,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B F L D F',B2 D2 B' L' B' L D2 U' B2,D' R' B' D' B2 D B2 L R D L2,L F D' B2 L F2 R' F' R' F' L' B2 D F',L' U L2 F2 R2 D R2 F2 L',48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' D U2 F2 R U,B2 F U' F U2 F2 U B2,L F U L' B' L' B U' L' F',R B U2 B' L2 F U' F' L2 U' B U' R' U',L R' D' B2 D L' R F' D2 F,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F R U' L2 D2,B' L R2 F D' R2 D' B2 D,D' F2 L' B2 R' B2 L F2 L2 D,L2 F2 U' B' U2 B U' B F2 L B' L F U' F',,39
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 R2 U' L F2,D2 B' D2 U B F' L F L2 B',B2 L2 D2 F2 L U L' U B R2 F2 D2,D2 R2 B F' L F' L D' F D B' U2 R' D2 R',L' U' L U2 L2 D' U' B' U B D L2 U',55
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B F D2 B2 R B,U2 L' U B2 R B' D2 R' U,D' B' L' B2 D2 R D2 R' D B' L,B2 D2 F2 R2 F' L' F' D2 B2 R' B' R B L2,F U2 F' L' R U B2 U' L R',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 R',U L' B2 U R2 D' R2 B' U2,B' L2 F U2 F' D2 B D2 B,D' U2 F2 D' R2 B U' B2 L2 B R D2 R F' U2,,35
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' L2 R' U B' U R',U B' U' L' F' D L F D',B U R' B2 R U2 L' D2 L U B',F D' L2 R2 F2 R' D R D F2 L2 R2 D F' L',R F' D2 F L R' D' B2 D L',52
