scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D F' U2 L2 R' D2,U2 R' F' U' L2 D2 R' B' L2,D B F2 D F R' B2 U' L' U B F,B U' B2 L' D L D B2 U B' D',R' F L2 F' R F L2 F',46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B' D' U' B L' B2,U L2 D R' F2 L' U L',F L D B D2 R D2 B' D' L' F',L2 D B' F L' D2 L' B F' D L2 R2,U2 R' B D2 B' R U2 R' B D2 B' R,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' U' R B' L',F2 D' L' F2 U B' U R' U2,L2 F R2 B R2 U R B' R' F' L2,R' D' R D' L B R B R2 B2 L' D',D2 L' D' R2 D L D' R2 D',46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' R2 F R U' B',D' F L' D' L2 D2 F',B2 F' U2 F' R F U2 B2 L' F L2,L' U F2 U' L R' F D2 F' R,R F' L F R' F' L' F,42
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U L' R' F D2 U2 B',B2 R B L B F2 U B' L' U',D' U L' B' L2 B L2 D L U',B2 R2 B' F D F' R' B' L' D L F D F',R' F L2 F' R F L2 F',49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F' R2 D' B,F2 L' D U B' D2 U' F2,B2 R B' F2 D F2 R2 F R' F' R2 B',R2 B2 R D R F D L F2 R U2 F R',R' B2 R F R' B2 R F',45
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U F' R' B R2,U' R2 U' R2 B R U' B2 U',F2 D F' D' R2 B D R' B' R' F',D' R2 B F' R B' F D' R2 D,U2 L R F' L' B L' B L' F L2 B2 R',48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 B2 R2 F R,L D2 U' L2 B L2 R F2 U,L2 R' F2 R B U' R F R' U B' L2,F D' F' D B D2 R D2 B2 F' R' F R B,R' F L2 F' R F L2 F',48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F2 U2 L' D B' R,D L U' F' U' B2 U2 F2 L',L2 B' D' U L2 U' L D B L2,B' U2 L B D2 F' D F L D L' B' U2 B,U2 R B2 L2 F' L B' L B' L F L' R',52
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 L' D' U2 L2 U2,B U' L F R' B' L' D R B',F D2 B2 R B' D2 B' D2 F D2 F2,L' D' L F L B F' D2 R2 B' D' F D' L F',U2 R B2 L2 F' L B' L B' L F L' R',55
