scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U F' R' U' B' L',D B L B' L' D B' D2,D U F U B' U2 B F' D L2 D2 U',F2 U B L2 U B2 D R B U R U,F R' F L2 F' R F L2 F2,47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D' U2 B2 F' L,F L F' D2 L',U2 L U L D2 U' L D2 U L2 U2,R' B2 D' L' D' L2 D L' D' L' D2 B2 R,L' B L' F2 L B' L' F2 L2,44
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' R F' D' F R2,L U L2 U' L R2 F' R2 B,R F' U2 B' U2 R' U2 R B F R',L' D2 F' U2 L U2 L U2 L2 U2 F D2 L,R B' R' F R B R' F',47
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F L B' D F' D2,D' U' L2 D2 U B' L D' B',R2 U L2 R' F' L2 R2 D2 B' D2 R,F L F' L' F2 L B D' F' D B' L' F2,B2 R2 B' L2 B R2 B' L2 B',48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F2 L F' R B2,D2 B D' L' R' B2 U R D',R2 B2 U' B2 U' B2 U2 B2 R2,R2 F' U' R U B U B' L R2 F2 L' F R',U B U' F' U B' U' F,45
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R2 D U2 R B',F2 L' U2 R' B D' U2 L,F2 R F2 U2 F D2 R U' R' D2 R' F',R U' F2 U F2 L' R' U L U' R F2 R',R2 B2 R F2 R' B2 R F2 R,47
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R U' B L' F' U2,B L' D L B2 D L D',R F' U' F D F U' F' D' U2 R',L' F' L F' L' F2 L' B D2 B' L2 F',L F' L F' R' B F D2 B' L2 F2 R F',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' R2 D' L B2 R2 D',L' F L' F' U2 B2 U2 L,D2 F' D2 F2 D2 F' D2 F',U' F2 U L2 D2 F D F' D2 L' F2 L' F2,F R B' R' F' R B R',44
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' D2 U' R F,D' L2 U B L' D2 B U' L2,L2 D U L' B' L B D' U' L2,L D2 B R2 U F' U' B' L B R2 D' B' L2,B2 R2 B' L2 B R2 B' L2 B',47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L D U2 L2 F2 U',L' U B2 D B L B2 U',L F' L2 D R' B' R D' L F,U F U2 L' U' L B' R2 B U2 L' U' L F',R' B D2 B' R U2 R' B D2 B' R U2,50
