scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,D L' R D' B' U,F D B U L' R U' B' D2,B' F2 L' F' L2 D2 L' B F',U2 F2 D R2 F D U' R' B2 U' B2 D2,B D2 R' D R D B' R' B D B' R,48
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D2 R U B2 R' F',B D2 L2 F L' B2 L',U F' R' F R2 F' D R D' F U',R2 U' R U' B' F' R F D' R' B U2 R2,U2 R' B D2 B' R U2 R' B D2 B' R,49
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,D L U' R' D' B',R' D L2 U' R2 U2 L2 R',B2 F2 D F D' B2 F2,R2 D' U' R' D2 R F2 D' F U B' L2 B R2,R' B D2 B' R U2 R' B D2 B' R U2,47
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B' U' B' R F,R D2 L' U' L' R U2 R2 B' L2,U2 B' D F' D' B U' R' U F U2,R' B D F' D F R2 F' D' F R2 D' B' R,R2 B' R B R2 U2 L F L' U2 R',51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L2 D F U2 R D2 L',D' U2 L D' L2 F L U2,U R2 U' B2 D B2 R F' R' F,B U2 L' U' F U' B' D2 B' R' D B D,U2 L' D2 L' R' D' L2 R U R' B2 R U,51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F' R2 D L2 R2,F' D' F2 L' F L F,U B' L' F2 L F' D B F' U',D' R B' D' L' D2 L B D R' D2 R2 D',L' D2 L' R' D' L2 R U R' B2 R U',47
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' L U' L',B' D R' B2 R B',D' F D F' U B U2 F' U2 B' U',U' L D' U2 L D' R B D B' L' U' B2 D,F D B R2 F' R' F' R F2 R2 B' F' D',48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' U2 F R' B',B2 U2 R' B2 D F2 U2 L',L' U R' B2 L' D2 L B2 R U' L,L' U B2 U2 F U' F' R D2 R' U2 B' L2 B',U2 L' D2 L' R' D' L2 R U R' B2 R U,51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,F' U' B2 D2 L F,D2 R U' L' D' F R' D B' L,R2 U F' R2 F R' U' R U R2 U',B2 F L2 D2 L' D L' D L2 B D2 B F',F D B R2 F' R' F' R F2 R2 B' F' D',53
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D2 B2 U L' B,F' D2 L2 B2 L2 F2 D2 F',U B' D' R F2 R' B F2 U',R2 U' B2 D' B R F' D R2 B R2 F R' U,D' F D B2 D B D2 B' D B F' D B,49
