scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F' R D2 F R U2,D2 L' F2 D' U2 L B' D' U2 R2,B' D R' D2 F L F' D2 R D' B,R' F2 L D2 B2 R B2 L' D2 R F2,B' L2 B2 R D R' B2 L U' L U B,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R B F' L' F2,L2 U2 L2 U' L2 F' L F U' L2,B D' U F' D R' F U2 F2 U B',D F' D' R' D' F' R' F D R D F,F D' R2 D F' L2 F D' R2 D F' L2,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R2 B2 D' B D B',L2 R2 U B2 F L F D U',D B2 L' B R' D' R D B D',L2 F2 D2 F2 L2 U' F2 D' R2 D F2 U,B2 U B' R B' L' D' L B R' B2 U' B,50
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B2 R2 D2 L' B R,F L2 D U' R F2 U R' D',R' B F2 L' U' R2 U L B' F2 R,D2 L U B2 U' B' L' U' L2 U B D2,L' B' L' B' R2 U2 B' R2 B' L' F L' F2 D2,52
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D' L2 R' U F2,F2 R' U2 B D B' D' R U2 R,D U L R' D' B' D' L' D R U',F' R' B R F' R' U' B' F R F' R F2,F D' R2 D F' L2 F D' R2 D F' L2,51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D' B' R2 D' B2,B2 U' B2 R B2 R2 U R B2,F U R2 U R' U F R U2 R2 U',F D' U2 R' U2 L F2 L' U' R D U F',B' L2 B2 R D R' B2 L U' L U B,50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F' R' D' B2 U' B',R U' R2 B2 U L2 F R' D L2,F' R' B U' F' R2 F R' F' U' B' F2 R2,D F' D' F D' B L2 D B D' L2 B',L2 F D' R2 D F' L2 F D' R2 D F',53
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U L' D' U' B' L',L U2 L' D2 U' B D2 U' F',B F2 R2 U F D R2 D' U B' R2 F,F' D2 F L2 U B' R B2 U2 L F2 U L,B2 U B' R B' L' D' L B R' B2 U' B,53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 D' L F U2,R' F R2 D U' B' D' U,U' B' D2 B U2 F D2 F' U',B' F L F' D' L' U' F' D' F D U B,B' U L' B' R B' D' B2 L B' R' U' B2,48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F' L' D' F2 R2 B' R,B2 U' F2 R2 U2 R U R B2,D2 R2 D R D R F' R' F R D2 R2,D2 B' L' B L2 B' U B' U' B2 L2 D2,U2 F R' D F2 D' R F' D' U2 B' L2 B D,54
