scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L D' F U2 B L U2,U2 R' U2 B' R' B2 F' U' B' U,D' L' U R D' R' B2 D U' F L' F',L D2 B R D2 B' F L2 D' F' D2 L',R D' B2 D R' F2 R D' B2 D R' F2,53
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U' F' D' R2,F2 L U R B L B' U2 L',F2 D2 U2 R' B' R B' R D2 U2 L',D' L' B' U2 B D L' F' L2 F L F,D F2 L D2 R' B2 L B2 D2 R F2 L' D',49
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,F' D B' L' R2,D2 U' L B2 U' B' D' U2 B' D',B2 F U' L' B D L2 D' F' D L' B,B D' F2 D2 F2 D2 F2 D' B',D F2 L D2 R' B2 L B2 D2 R F2 L' D',49
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U2 R' B' U2 L' B',L R2 U' R F' L' U R U' R',R2 D R2 B2 F' U B2 F R' D',R' D' U F2 D' U2 B D' U R' D' R',L2 F2 U2 F' U2 L2 F2 L2 F' L2 U2 F2 U2 F',52
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,D B L' R' B' U,F' R2 F2 U2 F' U' R' F2 U,D' U' R' U' R' D U' B2 U2 F' U F,R' D U' B D2 U' L D' U B' D2 U,,39
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,R2 B D2 R' D,F L2 R2 B D' L2 U' B' U2,R' B2 F' R' B' U2 B' F R' B2 R B2,R D F2 D U' R2 B D' U R' D' R',R F' U' B' U B F R2 B2 R' B R B R,52
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R2 F2 D U B' L',B F' D L' B2 D' B U,B2 R2 B2 F' L2 D F2 D' L' F' L' F,U F2 U' R2 D2 B F2 R B' R' F2 D2 R2,D F2 L D2 R' B2 L B2 D2 R F2 L' D',52
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,D B2 R2 B D R',L F L' R2 D R' D' R' U',R2 D B R F' U' L2 D2 L2 B' F D',D F R2 F2 R2 F2 U2 L2 B' U2 R2 D,U L' U' R U' B L B' L' U2 L2 U L' U2 R',54
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L2 B2 U F D' L',F2 U' F L2 F R2 F L2 U',U L' D U2 R D' U2 L U',L' B D2 B R B' F D' B' L2 F' L,U L' U' R U' B L B' L' U2 L2 U L' U2 R',51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,F2 U' L U2 B2 L,F' L F2 R' F U2 R U' F2 L',D L F' D' L' F U2 R B D' R' U2,R B2 D R D2 B2 D U F U2 L2 U B2 R',L B2 F' U B' R2 F D' F D F2 R2 B' F L',57
