scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D' L2 B R D2 R2,L' D U' L2 D' B U L R',F D2 R2 D2 L B' D' R2 D B L' F',L F L' R' B' L U F' U' L' B2 U B',F D' R2 D F' L2 F D' R2 D F' L2,52
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 R' F2 L U B,F2 D' R2 U2 F U' R2 D F2,R' B' R F2 D' B F2 U' B U B',R U L' D B D' U R' U' L U' R',B L D R' D' R2 F2 L' U' L F2 L' R' B',52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D' B2 L' D2 R,D' B2 U B R2 D2 B U',U F R' B' D' R D' R2 B F' U' R2,B2 F D' U R U' R D B2 D' R2 D B2 F',L2 F D' R2 D F' L2 F D' R2 D F',51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R U' R B F,F U' R D2 R D' F2 D2 R2 F',F2 L F' R' D B' R D' F L' F2,B' R2 B2 F2 U B2 U' F2 U R2 B2 U B',,39
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D L F' D2 R2 D',F2 D' L' B F U L F,U' B' R2 F D F' R2 B R2 U' R2,L' U B' L2 D' R D' F' R' D2 L' U',B U2 F2 R D R' D' F2 U2 F2 R' B' R F2,51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R' D' F U L2 U',D2 U2 R' B' L B' F' L' B2 U2,F2 L D L' D' B' L' B' F2 U B2,U' R' U2 R B U L U2 L' B',B L2 D2 L' F L' F' L2 D2 R' B' L2 R B',51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B' U F' U2 L2 R',L' R U2 R' B' L F2,R2 U' F R B' D' R' B F2 U' F R',B' F2 R2 F U F L2 B2 L2 F' U' B F,F2 R' B R F2 U2 F2 D R D' R' F2 U2 B',52
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D' L D' U F',D' U2 R' U L2 U L B L,R B F' U' B L' F2 D B2 R F',F' U2 R B2 R' F2 R B2 F2 U2 F2 R F',B U2 F2 R D R' D' F2 U2 F2 R' B' R F2,52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F' L' R' D2 U,L R F L' R' U R2 U',B U2 R U B' U' R U2 F D2 F' R2,R2 B' U B' R2 U' R' U B U B' R B2 R2,B F2 R' B R B2 U B' R' B R B U' F2,53
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R2 U R' B F R,B R' B2 L2 R D' L2 B,B' R' U2 R' U2 R' F D' F' R' B,F D2 F D2 B2 D' F' U F2 L2 D U' F U' B2,F' D' R D' R' B2 L2 U' L' U L' B2 D F,54
