scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U' L B' D2 U L',D L B L2 B2 D' U2 R' U2,D2 R' F D F' D F' R F D2,B2 L R2 U2 F R' F' L' R2 B2 R,B' D2 B' U' B D2 B' U B2,45
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U2 L2 U' R B D,F R' F2 U' B D' L D U,L' B F' U R U' B' R2 F L,L2 R' B D2 R' F R' F' R2 D2 B' L2 R,B' L' B R' B' L B R,46
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L' B' D' U' F',L U' L2 U R U2 R' U L F,F' D' L R D' L' D F D R,R D B' D' R' U2 B U R' U R B,B' D2 B' U' B D2 B' U B2,46
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,R' B' D U F',D' B2 F' U' L2 R U,D' F' R' F D B' L2 F' L2 B R2,B L2 R' U L2 B R D' B D R' B2 R,F L' D2 L F' L' F D2 F' L,46
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,R2 D' F D' F,L' R2 D L D2 B' D2 F R',F U F U' B R2 B' D R' D' F',D2 L F2 L' B D2 R U2 R' D2 B' D2,B' D2 B' R U2 R' B D2 B' R U2 R' B2,50
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 U' L U L U2,F L' U' R' D U L' B' F2 L2,D2 R' F' D' R F' D R' F R D,D B' D' B' L R2 U' L' R2 B' R' B' R,L B2 L F2 L' B2 L F2 L2,49
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R F R D' B' U' F',U F' D L2 B R' D' B' F2 U',R2 U' R' D' B' R2 D B R D U,D L2 D2 R' U F U F' R D2 L2 D' B',B D' F' U F' U F' D F2 U2 B' R2 F,54
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L' U2 B2 F' L,B2 D L2 D L' D' B' L2 D',U' L2 F' R D2 L2 R U B' R U' R,R D2 L' F L' F L F D R' D2 L D',R' B' L' B R B' L B,47
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U' B D' L' R' F',R2 D U L2 F R' U' F' D',B' L' F' D' F' L D' B R2 D R2,L' B2 L U2 F' L' B' U' B' L U F U',F' R2 B U2 F2 D' F U' F U' F D B',52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B2 L' F2 U' R,B U' L B2 R D2 R2 U B',U B' L' D' L2 D' F' D L' B U',R' B2 U R B R' U' R B' R' U2 B2 U R,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,52
