scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' L D' U' R',D2 B' D' L D B' F' U' B2 D2,L' F R' F' D B2 U' L' R D2 F' L2,R2 F D U' R' B2 R' D U' B D2 U2,D' B2 D F D' B2 D F',47
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U' L2 B' F' L',F' U' L F D' R2 D L',B U' L2 B' D2 L2 D U R' B2 D' B',L' F' L U L U' L D' L' D2 F' D',R2 U' F L2 F' U R2 U' F L2 F' U,49
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D' F D2 L2 D L',L F' D' R' D L' U F2,L2 F2 L' U' B2 L' R D2 B R B2 R2,U' R' F D R2 F R2 B2 F' U R D' R2,D B' D' F' D B D' F,47
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D' F' U' R' B2 R',B F2 U2 L F L' B' F',U' F' L R' D F' L' R U2,B' U2 B U2 F' L2 F D2 B' D2 L2,B L2 B' R2 B L2 B' R2,42
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,D' U F U' B' D,B L' U' L B' F,L D2 R2 U' L R' F L2 F2 R',D2 R2 D2 R U' R' D2 B' R' U R' D2 F',L' F2 L' B L F2 L' B' L2,44
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R' B' D U B R',U F' U2 L' B U' L,L F' R F D' F2 L B R D' L2 U2,U L B' U R B D' B2 D2 B D' R' U2,U2 L' F2 L U' L' U F2 U' L U',49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B U2 L D2 L2,F' D' L2 F' L' F L2 D,U2 R F2 L2 D B2 L R U2 B L U2,R U B2 U' F U' R' U2 B2 U' F' R',F L F' R2 F L' F' R2,45
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 R' B2 D2 U' B D',U F' L U F' U' F' L',L2 B R' D' R' U B2 U' F' D R2,R2 F R2 D U B D B' D' U' R D' R',D B' D' F' D B D' F,47
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R U' B F' D2 B2 R,U2 F2 D2 U' F D2 B' U F2 U2,U F' D2 U F' D2 U2 B U F U',D' L' B2 L B' R' U' F U F' R B' L D,F' D B' D' F D B D',50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L2 F2 R B' D U',L2 B L' F U' L' B2 U2 B',F U B L2 R2 F' D' B' L2 R2,L' U L U B' L2 F2 R B' R' F2 L2 U' B U',D' L' U2 L D L' U2 L,48
