scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,R' B F2 L2 D R',R' D L F L' U' R D' U',B' D' U2 L' D F2 U2 B2 R' D2 B' F2,F R' F2 L B D2 L' D F R2 D F D2 R2,D R B' D' U R2 D U' B' R' D',52
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F R' U B D L',B D2 B2 F2 U' L' F2 U' B,D2 F D2 F' U' B R' B' D R' D2 U,U B F' L2 F' U B' F R' F U,L2 F' D R' F D' L2 R2 U B' R U' B R2,52
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L' B2 F' D U',L' B2 L2 F U' B' U L' R',U2 B' L B' L2 D2 L B D2 B D U2,F D' L2 U' L U' F' R2 U2 L2 D L' D2 F',B F L F2 D2 F2 L B' F' L2,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' U2 L U L',F2 R' F2 U R F2 R,D L' U F2 R' F R' F U' L D',L B2 U2 L B' F2 D' R F D B F L2 B,,37
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R' U2 B F R,D' L2 B2 U' B2 L' F L',F' R F U2 L' B2 L U' L2 D L2 U',F' L2 U B U L' B2 L' F L R B L' R2,B' D' B' L R' U B U' L' R B2,50
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,L F' R2 B U' F' L2,B2 D L2 D2 F L2 D B2 R2,F' L D2 L R2 B' L R2 F L D',B' U' F2 R2 F D' B R B2 D2 B R F U B,R' B' R B F D2 B2 D' B D B D2 F',55
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 B L' D U2,R D' R' D L' B' R2 F2 L U',U2 L' R D' F2 D F L D' R' U2,D' U L B' L2 U2 R' U' R' B R2 U2 F L D,B F L F2 D2 F2 L B' F' L2,51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,F2 D' B' F2 D' U,B' U R B L2 F' L' U' L',R2 D L' U F U F2 U2 L D' R2,D' U' B R B L' D L B2 R' D U L2 U' L2,B F L F2 D2 F2 L B' F' L2,51
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L2 U' F' D' B' D',U2 L F2 U F U2 R' U L',B' F2 D' U2 B R' B R U2 B F2,U' F2 R B U R2 D R' U' R D' R2 B' F2 U,L2 F' D R' F D' L2 R2 U B' R U' B R2,55
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U R' B2 F' R D',R' U' R2 U' B' R' B,F R2 B D2 R' D B D B' R2 F',U' R2 B F L' B L' F L' F2 D2 B D B U,F2 U' B' F R2 B F' U' F2,48
